Period,Date,Hour,Demand Forecast
312,2020-04-15,14,43383.95421496344
312,2020-04-15,15,42991.4588714352
312,2020-04-15,16,42790.12706309688
312,2020-04-15,17,43434.79558070544
312,2020-04-15,18,44287.9136978562
312,2020-04-15,19,44728.19992518192
312,2020-04-15,20,44847.1687210182
312,2020-04-15,21,44004.21887701584
312,2020-04-15,22,41756.013683904595
312,2020-04-15,23,39083.79150050508
312,2020-04-16,0,37260.2674204865
312,2020-04-16,1,36456.72220418165
312,2020-04-16,2,36105.68892025466
312,2020-04-16,3,36156.42824448009
312,2020-04-16,4,36903.02115808293
312,2020-04-16,5,39113.805999334036
312,2020-04-16,6,44162.88650797123
312,2020-04-16,7,48121.58929396795
312,2020-04-16,8,48881.64366093671
312,2020-04-16,9,48124.69578320624
312,2020-04-16,10,47295.26315658229
312,2020-04-16,11,46516.56985418377
312,2020-04-16,12,45669.53378854283
312,2020-04-16,13,45057.55540859932
312,2020-04-16,14,44414.51213627288
312,2020-04-16,15,44042.76892409061
312,2020-04-16,16,43867.77003033349
312,2020-04-16,17,44351.34685509428
312,2020-04-16,18,44907.40842874853
312,2020-04-16,19,45361.991353951926
312,2020-04-16,20,45456.22152751345
312,2020-04-16,21,44818.35573725084
312,2020-04-16,22,42639.671284795404
312,2020-04-16,23,39809.65958871143
312,2020-04-17,0,38395.632574625655
312,2020-04-17,1,37461.588207319335
312,2020-04-17,2,37150.59030774378
312,2020-04-17,3,37266.16385150496
312,2020-04-17,4,38026.84790316951
312,2020-04-17,5,40343.57212129149
312,2020-04-17,6,45522.31755037231
312,2020-04-17,7,49450.76736967303
312,2020-04-17,8,50286.04889049252
312,2020-04-17,9,49593.65829650505
312,2020-04-17,10,48798.30218171215
312,2020-04-17,11,47712.96153893664
312,2020-04-17,12,46546.71941552829
312,2020-04-17,13,45322.69052023936
312,2020-04-17,14,44285.680632127616
312,2020-04-17,15,43675.24218735262
312,2020-04-17,16,43594.340706719784
312,2020-04-17,17,44412.811530264924
312,2020-04-17,18,45063.1753810665
312,2020-04-17,19,45217.62366227464
312,2020-04-17,20,45094.69543845592
312,2020-04-17,21,44472.6996393048
312,2020-04-17,22,42664.49901373205
312,2020-04-17,23,40308.90005816313
312,2020-04-18,0,38921.760765706575
312,2020-04-18,1,37834.32229354953
312,2020-04-18,2,37326.0102869391
312,2020-04-18,3,37097.075871748144
312,2020-04-18,4,37192.141857717266
312,2020-04-18,5,37590.83696213881
312,2020-04-18,6,38623.95201374206
312,2020-04-18,7,40436.02611364336
312,2020-04-18,8,42318.91467248085
312,2020-04-18,9,43348.14947975884
312,2020-04-18,10,43107.57433159207
312,2020-04-18,11,42340.256016269836
312,2020-04-18,12,41333.332613862156
312,2020-04-18,13,40323.49902821052
312,2020-04-18,14,39557.15077396961
312,2020-04-18,15,39332.09660310392
312,2020-04-18,16,39649.306576694784
312,2020-04-18,17,40789.12834724298
312,2020-04-18,18,42295.63320652923
312,2020-04-18,19,43096.90365969758
312,2020-04-18,20,43362.7003959786
312,2020-04-18,21,42902.891443434055
312,2020-04-18,22,41651.512648534335
312,2020-04-18,23,39630.87541614975
312,2020-04-19,0,38528.789012165056
312,2020-04-19,1,37368.10704860684
312,2020-04-19,2,36938.94733098868
312,2020-04-19,3,36849.2139354867
312,2020-04-19,4,37037.45899344194
312,2020-04-19,5,37539.77093565411
312,2020-04-19,6,38559.02526499724
312,2020-04-19,7,39880.64212266226
312,2020-04-19,8,41388.55331229335
312,2020-04-19,9,42324.90178709661
312,2020-04-19,10,42437.068531474084
312,2020-04-19,11,42132.75527716302
312,2020-04-19,12,41450.9765439469
312,2020-04-19,13,40746.76446185528
312,2020-04-19,14,40292.24530637786
312,2020-04-19,15,40037.67556479073
312,2020-04-19,16,40290.29458038868
312,2020-04-19,17,41158.36764557088
312,2020-04-19,18,42658.475931245266
312,2020-04-19,19,44066.90009542851
312,2020-04-19,20,44923.26880467566
312,2020-04-19,21,44660.89615913183
312,2020-04-19,22,43132.50234661442
312,2020-04-19,23,40957.44286868601
312,2020-04-20,0,34341.721004493826
312,2020-04-20,1,33444.049969279746
312,2020-04-20,2,33174.16826795999
312,2020-04-20,3,33305.7235058793
312,2020-04-20,4,33943.18601903241
312,2020-04-20,5,36462.08189801674
312,2020-04-20,6,41397.33795584243
312,2020-04-20,7,44990.92405047637
312,2020-04-20,8,45894.39899324572
312,2020-04-20,9,45355.60290853209
312,2020-04-20,10,44669.77449908513
312,2020-04-20,11,43826.27326772018
312,2020-04-20,12,42840.57630125127
312,2020-04-20,13,42182.800111654746
312,2020-04-20,14,41524.05660413234
312,2020-04-20,15,40971.71806845644
312,2020-04-20,16,40858.5418711288
312,2020-04-20,17,41524.05660413234
312,2020-04-20,18,42190.53865506176
312,2020-04-20,19,42684.83811518503
312,2020-04-20,20,42744.81182658942
312,2020-04-20,21,41864.55251404113
312,2020-04-20,22,39809.96923947787
312,2020-04-20,23,37315.25630864046
312,2020-04-21,0,35370.08712472635
312,2020-04-21,1,34536.44541319168
312,2020-04-21,2,34320.20736360346
312,2020-04-21,3,34420.98799304955
312,2020-04-21,4,35077.52976351876
312,2020-04-21,5,37157.72023150317
312,2020-04-21,6,41596.9601906966
312,2020-04-21,7,45358.132419733316
312,2020-04-21,8,46060.66146771675
312,2020-04-21,9,45409.99041352596
312,2020-04-21,10,44630.16360121008
312,2020-04-21,11,43841.53071447657
312,2020-04-21,12,43022.565793637936
312,2020-04-21,13,42397.33450998693
312,2020-04-21,14,41731.98666510011
312,2020-04-21,15,41385.614404673724
312,2020-04-21,16,41107.733834162165
312,2020-04-21,17,41746.66345579614
312,2020-04-21,18,42600.85267430526
312,2020-04-21,19,43112.58344324026
312,2020-04-21,20,43121.38951765789
312,2020-04-21,21,42342.54115805507
312,2020-04-21,22,40266.264500922945
312,2020-04-21,23,37839.70177251216
312,2020-04-22,0,35470.1258049248
312,2020-04-22,1,34726.981588510156
312,2020-04-22,2,34470.080077935025
312,2020-04-22,3,34539.96516318726
312,2020-04-22,4,35231.92593688196
312,2020-04-22,5,37324.54130654758
312,2020-04-22,6,42027.5122549306
312,2020-04-22,7,45764.88787046228
312,2020-04-22,8,46585.79154793223
312,2020-04-22,9,45894.81507121292
312,2020-04-22,10,45044.38248448145
312,2020-04-22,11,44039.41527261476
312,2020-04-22,12,43135.830649212585
312,2020-04-22,13,42529.50371237626
312,2020-04-22,14,41996.01475171833
312,2020-04-22,15,41616.07611922024
312,2020-04-22,16,41421.185318094285
312,2020-04-22,17,42045.2296004875
312,2020-04-22,18,42871.054762834385
312,2020-04-22,19,43297.2553531755
312,2020-04-22,20,43412.41809929538
312,2020-04-22,21,42596.43590670235
312,2020-04-22,22,40420.155294129116
312,2020-04-22,23,37833.42284282092
351,2020-05-18,0,32331.09403101355
351,2020-05-18,1,31409.34361803433
351,2020-05-18,2,31116.059395722757
351,2020-05-18,3,31095.576053212106
351,2020-05-18,4,31477.311072728753
351,2020-05-18,5,33447.436197843934
351,2020-05-18,6,38901.59167181593
351,2020-05-18,7,42840.910861023076
351,2020-05-18,8,43875.31965781087
351,2020-05-18,9,43595.07028982426
351,2020-05-18,10,43062.50338454738
351,2020-05-18,11,42578.35165247748
351,2020-05-18,12,42037.4051979917
351,2020-05-18,13,41573.736808432455
351,2020-05-18,14,41165.001019242685
351,2020-05-18,15,40796.30085405099
351,2020-05-18,16,40535.60376755182
351,2020-05-18,17,40890.338017395334
351,2020-05-18,18,41028.13504883061
351,2020-05-18,19,40945.27061776481
351,2020-05-18,20,40565.397720294575
351,2020-05-18,21,40404.324163279016
351,2020-05-18,22,39123.184195340225
351,2020-05-18,23,36263.89579305822
351,2020-05-19,0,33610.86605681533
351,2020-05-19,1,32714.313431703362
351,2020-05-19,2,32300.303266599298
351,2020-05-19,3,32155.72828830899
351,2020-05-19,4,32522.79852539672
351,2020-05-19,5,34390.06886188646
351,2020-05-19,6,39067.16328943391
351,2020-05-19,7,43051.42437946029
351,2020-05-19,8,43788.38124931671
351,2020-05-19,9,43457.92415608173
351,2020-05-19,10,43171.5905951821
351,2020-05-19,11,42750.07004159543
351,2020-05-19,12,42182.09691259779
351,2020-05-19,13,41740.86158924426
351,2020-05-19,14,41232.97156810753
351,2020-05-19,15,40884.67730222634
351,2020-05-19,16,40571.11858307723
351,2020-05-19,17,40903.45327343287
351,2020-05-19,18,41120.31574086833
351,2020-05-19,19,40962.59758273345
351,2020-05-19,20,40491.32070544947
351,2020-05-19,21,40290.417813539556
351,2020-05-19,22,39007.080181573
351,2020-05-19,23,36431.95573059696
351,2020-05-20,0,32894.504477431685
351,2020-05-20,1,31975.45493936532
351,2020-05-20,2,31543.71115240452
351,2020-05-20,3,31360.629926288228
351,2020-05-20,4,31604.738227776616
351,2020-05-20,5,33459.2326375914
351,2020-05-20,6,37885.061879875284
351,2020-05-20,7,41665.09714546042
351,2020-05-20,8,42536.782386223065
351,2020-05-20,9,42244.39893555973
351,2020-05-20,10,41917.403113789835
351,2020-05-20,11,41512.07403109456
351,2020-05-20,12,40732.38482932568
351,2020-05-20,13,40158.548150453724
351,2020-05-20,14,39729.536919106584
351,2020-05-20,15,39372.482985586255
351,2020-05-20,16,39215.8164637355
351,2020-05-20,17,39558.29676731623
351,2020-05-20,18,39832.46318055505
351,2020-05-20,19,39773.25780892541
351,2020-05-20,20,39400.71939359424
351,2020-05-20,21,39181.204092628934
351,2020-05-20,22,37904.18976917102
351,2020-05-20,23,35392.97116020278
351,2020-05-21,0,32504.268728770985
351,2020-05-21,1,31434.081400793748
351,2020-05-21,2,31009.951860673737
351,2020-05-21,3,30741.17209396978
351,2020-05-21,4,30648.291012509388
351,2020-05-21,5,30859.533826096293
351,2020-05-21,6,31878.75985274128
351,2020-05-21,7,33247.31738045411
351,2020-05-21,8,34550.11839031887
351,2020-05-21,9,35389.33594935478
351,2020-05-21,10,35756.75049283083
351,2020-05-21,11,35755.92853635774
351,2020-05-21,12,35418.92638238641
351,2020-05-21,13,34913.42315142942
351,2020-05-21,14,34541.07686911476
351,2020-05-21,15,34384.90513922561
351,2020-05-21,16,34542.72078206096
351,2020-05-21,17,35238.91791477734
351,2020-05-21,18,36075.669604393945
351,2020-05-21,19,36885.29673039823
351,2020-05-21,20,37038.18063439498
351,2020-05-21,21,37314.358009356845
351,2020-05-21,22,36849.1306455818
351,2020-05-21,23,34977.53575633129
351,2020-05-22,0,32611.22995998511
351,2020-05-22,1,31498.997368433367
351,2020-05-22,2,31065.86833037716
351,2020-05-22,3,30909.015016183963
351,2020-05-22,4,31246.784368906814
351,2020-05-22,5,32963.25870490734
351,2020-05-22,6,37460.31451978723
351,2020-05-22,7,41011.79438944565
351,2020-05-22,8,42024.21123560172
351,2020-05-22,9,41918.15700611882
351,2020-05-22,10,41469.87736385076
351,2020-05-22,11,40860.288347327216
351,2020-05-22,12,40025.222691650946
351,2020-05-22,13,39078.75553441701
351,2020-05-22,14,38279.33835923919
351,2020-05-22,15,37767.782664086386
351,2020-05-22,16,37705.397823214094
351,2020-05-22,17,38257.949270940124
351,2020-05-22,18,38740.98618169416
351,2020-05-22,19,38547.593174990056
351,2020-05-22,20,37911.26779809266
351,2020-05-22,21,37735.69903163778
351,2020-05-22,22,37003.122757394565
351,2020-05-22,23,35119.1005630513
351,2020-05-23,0,32357.830850654398
351,2020-05-23,1,31075.1076236328
351,2020-05-23,2,30393.4364127576
351,2020-05-23,3,30088.520250516
351,2020-05-23,4,29923.2908118144
351,2020-05-23,5,30078.1435224816
351,2020-05-23,6,30948.192257673603
351,2020-05-23,7,32701.8592954872
351,2020-05-23,8,34633.5271295832
351,2020-05-23,9,35570.6254920744
351,2020-05-23,10,35288.857415448
351,2020-05-23,11,34805.940456924
351,2020-05-23,12,34138.6370233272
351,2020-05-23,13,33501.6655639848
351,2020-05-23,14,33104.9552691312
351,2020-05-23,15,32900.6135478384
351,2020-05-23,16,33135.2872433856
351,2020-05-23,17,34062.0088778424
351,2020-05-23,18,35293.6466745408
351,2020-05-23,19,35654.4375261984
351,2020-05-23,20,35279.278897262404
351,2020-05-23,21,35259.323651042396
351,2020-05-23,22,34900.1292190824
351,2020-05-23,23,33116.1302070144
351,2020-05-24,0,31744.91481402074
351,2020-05-24,1,30699.72884644317
351,2020-05-24,2,30285.50767956911
351,2020-05-24,3,30023.007056375667
351,2020-05-24,4,29932.295831847045
351,2020-05-24,5,30138.603661084708
351,2020-05-24,6,31134.01886830144
351,2020-05-24,7,32470.604610249713
351,2020-05-24,8,33742.970016248524
351,2020-05-24,9,34562.58205380359
351,2020-05-24,10,34921.413180921234
351,2020-05-24,11,34920.61042672187
351,2020-05-24,12,34591.481204980846
351,2020-05-24,13,34097.78737236933
351,2020-05-24,14,33734.13972005547
351,2020-05-24,15,33581.61642217549
351,2020-05-24,16,33735.74522845421
351,2020-05-24,17,34415.678035319186
351,2020-05-24,18,35232.88181027615
351,2020-05-24,19,36023.594696653956
351,2020-05-24,20,36172.906977736464
351,2020-05-24,21,36442.632388724225
351,2020-05-24,22,35988.27351188175
351,2020-05-24,23,34160.402199920056
351,2020-05-25,0,31187.133707945537
351,2020-05-25,1,30297.997282578628
351,2020-05-25,2,30015.090238143697
351,2020-05-25,3,29995.331650913322
351,2020-05-25,4,30363.559867479416
351,2020-05-25,5,32263.976712001022
351,2020-05-25,6,37525.149620889286
351,2020-05-25,7,41325.08519233112
351,2020-05-25,8,42322.8938474651
351,2020-05-25,9,42052.5604494495
351,2020-05-25,10,41538.837181459734
351,2020-05-25,11,41071.816028741756
351,2020-05-25,12,40550.00970233956
351,2020-05-25,13,40102.747136851955
351,2020-05-25,14,39708.473509845826
351,2020-05-25,15,39352.81893969906
351,2020-05-25,16,39101.34601131245
351,2020-05-25,17,39443.528817438506
351,2020-05-25,18,39576.45022244286
351,2020-05-25,19,39496.51775591997
351,2020-05-25,20,39130.08577455663
351,2020-05-25,21,38974.71142951777
351,2020-05-25,22,37738.9016100179
351,2020-05-25,23,34980.7824561777
351,2020-05-26,0,32131.6630452769
351,2020-05-26,1,31274.567402345237
351,2020-05-26,2,30878.777686604015
351,2020-05-26,3,30740.565404916604
351,2020-05-26,4,31091.48100322685
351,2020-05-26,5,32876.573394631116
351,2020-05-26,6,37347.83045545369
351,2020-05-26,7,41156.745542995035
351,2020-05-26,8,41861.26918666137
351,2020-05-26,9,41545.35539994729
351,2020-05-26,10,41271.62328361833
351,2020-05-26,11,40868.65370908816
351,2020-05-26,12,40325.67688817333
351,2020-05-26,13,39903.86018432215
351,2020-05-26,14,39418.32223371897
351,2020-05-26,15,39085.35628238112
351,2020-05-26,16,38785.597177942196
