Period,Date,Hour,s -10,s -4,s -1,s 0,s 1,s 3,s 5,s 8,s 12,s 15,s 19,s 22,s 24,s 26,s 28,s 30,s 32,s 35,s 39,s 42,s 46,s 51,s 56,s 66,s 75,s 105,s 165,s 210
38,2019-07-15,18,20074.351015388573,21093.7124637,22113.07391201143,23132.43536032286,24151.796808634288,25171.158256945717,26190.519705257146,27209.88115356857,28229.24260188,29248.60405019143,30267.965498502857,31287.326946814286,32079.516708199997,33337.26225340001,35587.3033958,37985.069295999994,40779.89045305714,43064.6801013,46148.27805018572,47416.08602432857,48646.20363274285,49394.810337433155,50143.41704212347,50892.02374681377,51640.63045150408,52389.23715619439,53137.84386088469,53886.450565575
38,2019-07-15,19,20129.855513772854,21128.073917148926,22126.292320524997,23124.51072390107,24122.729127277136,25120.947530653208,26119.16593402928,27117.38433740535,28115.60274078142,29113.82114415749,30112.03954753356,31110.257950909632,32108.476354285704,33274.06442142857,35472.712701828576,37824.44041385714,40593.86502785715,42862.1771837,45949.981717657145,47199.88280944287,48447.119180600006,49192.866930055716,49938.61467951143,50684.36242896714,51430.11017842286,52175.85792787857,52921.605677334286,53667.353426789996
38,2019-07-15,20,19973.624876948572,20983.695499044155,21993.766121139743,23003.836743235326,24013.907365330913,25023.977987426497,26034.048609522084,27044.119231617668,28054.189853713255,29064.26047580884,30074.331097904425,31084.40172000001,31885.09879898572,33044.73739057142,35189.955713,37565.62384468572,40376.294149685724,42659.75352982857,45775.95671134286,47032.77443818571,48275.86099268571,49028.441928502034,49781.022864318365,50533.60380013469,51286.18473595102,52038.765671767345,52791.34660758368,53543.9275434
38,2019-07-15,21,19895.51270514857,20882.53689552727,21869.56108590597,22856.585276284673,23843.609466663376,24830.633657042075,25817.657847420778,26804.68203779948,27791.706228178184,28778.730418556886,29765.754608935586,30752.77879931429,31549.14926447143,32743.34129262857,34899.62403942857,37267.092022571436,40079.952675642846,42452.0069,45556.1858807,46815.186325,48085.519158571435,48838.17744464909,49590.835730726736,50343.49401680439,51096.152302882045,51848.8105889597,52601.468875037346,53354.127161115
38,2019-07-15,22,19760.09783205857,20724.4066301,21688.71542814143,22653.024226182857,23617.333024224285,24581.641822265716,25545.950620307143,26510.25941834857,27474.56821639,28438.877014431426,29403.185812472857,30367.494610514284,31169.425093242866,32406.7995,34567.553667299995,36949.53332205715,39847.88768731429,42250.81597512858,45445.825155714294,46719.86017691429,47984.19803601428,48739.88591469795,49495.57379338163,50251.2616720653,51006.949550748985,51762.63742943266,52518.325308116335,53274.01318680001
38,2019-07-15,23,19535.11348460143,20451.34701357393,21367.580542546428,22283.81407151893,23200.04760049143,24116.28112946393,25032.51465843643,25948.748187408928,26864.98171638143,27781.21524535393,28697.448774326433,29613.68230329893,30529.915832271432,31735.96559534286,33974.41007728571,36472.263810799996,39451.65724188571,41907.241568,45099.027838714275,46359.516080857145,47607.35167717143,48395.73645779265,49184.12123841388,49972.5060190351,50760.89079965633,51549.27558027755,52337.66036089878,53126.04514152
38,2019-07-16,0,19815.477475628573,20649.45252097262,21483.427566316666,22317.402611660713,23151.377657004763,23985.35270234881,24819.327747692856,25653.302793036903,26487.27783838095,27321.252883725,28155.227929069042,28989.202974413092,29823.17801975714,30884.989351371423,32915.3478012,35253.4675292,38263.77746421428,40964.93402005714,44271.00570682856,45530.26612914287,46764.6676923,47565.92351079428,48367.17932928857,49168.43514778285,49969.690966277136,50770.94678477142,51572.20260326571,52373.45842175999
38,2019-07-16,1,19365.082411487143,20193.6003185775,21022.11822566786,21850.636132758216,22679.154039848574,23507.671946938928,24336.18985402929,25164.707761119644,25993.22566821,26821.74357530036,27650.261482390717,28478.779389481075,29307.297296571433,30451.714722857145,32563.286049285718,34901.276377371425,37939.67355862857,40786.16550171428,44143.5168579,45410.97966999999,46669.28854525714,47475.58257191755,48281.87659857796,49088.17062523837,49894.46465189877,50700.75867855918,51507.05270521959,52313.346731879996
38,2019-07-16,2,19260.64523750143,20083.464357363217,20906.283477225003,21729.102597086785,22551.92171694857,23374.740836810357,24197.559956672143,25020.37907653393,25843.198196395715,26666.0173162575,27488.836436119287,28311.655555981073,29134.474675842856,30289.855018742855,32390.26252885714,34759.861808400005,37786.67864891429,40634.85949457142,43998.364890514276,45265.672006,46530.40219748572,47333.90360558205,48137.40501367837,48940.9064217747,49744.40782987102,50547.90923796735,51351.41064606368,52154.912054160006
38,2019-07-16,3,19163.070829890003,19978.234011982502,20793.397194075,21608.5603761675,22423.72355826,23238.8867403525,24054.049922445,24869.2131045375,25684.37628663,26499.539468722498,27314.702650814997,28129.865832907497,28945.029014999996,30103.30571968572,32224.535066285713,34599.26526125715,37614.2232896,40432.17135617143,43787.59136714286,45056.07602762858,46315.89539800001,47112.38265949929,47908.86992099858,48705.357182497864,49501.84444399715,50298.331705496435,51094.81896699572,51891.30622849501
38,2019-07-16,4,19099.475574325716,19914.798005852143,20730.120437378573,21545.442868905,22360.76530043143,23176.087731957858,23991.41016348429,24806.732595010715,25622.055026537142,26437.377458063573,27252.69988959,28068.022321116427,28883.344752642857,30046.848055885715,32163.534393071423,34513.40376914286,37539.948448200004,40379.679955871434,43739.769962057144,44998.8447935,46260.4130526,47050.87615920857,47841.33926581714,48631.802372425715,49422.26547903429,50212.728585642864,51003.191692251436,51793.65479886001
38,2019-07-16,5,19435.32136613571,20263.65048299464,21091.97959985357,21920.308716712498,22748.637833571425,23576.966950430353,24405.29606728928,25233.62518414821,26061.95430100714,26890.283417866067,27718.612534724998,28546.941651583926,29375.270768442853,30484.744745257147,32608.90180731429,34908.93289041428,37976.735857857144,40610.692127857146,43855.288567328564,45098.83959782857,46361.641384457136,47157.74593458612,47953.8504847151,48749.95503484408,49546.05958497307,50342.16413510205,51138.26868523103,51934.37323536001
38,2019-07-16,6,19565.604126514292,20468.115116552388,21370.626106590484,22273.137096628576,23175.64808666667,24078.159076704767,24980.67006674286,25883.181056780955,26785.69204681905,27688.203036857147,28590.714026895243,29493.225016933335,30395.73600697143,31469.395391500006,33618.788827699995,36034.5123008,38958.106972114285,41432.335104000005,44589.41607462858,45806.745343014285,47057.0159823,47838.81026661429,48620.604550928576,49402.398835242864,50184.193119557145,50965.98740387143,51747.78168818572,52529.57597250001
38,2019-07-16,7,19875.702873651426,20838.819228885237,21801.935584119045,22765.051939352856,23728.168294586667,24691.284649820474,25654.401005054286,26617.517360288097,27580.633715521904,28543.750070755716,29506.866425989523,30469.982781223334,31433.099136457146,32608.51137021428,34742.249317,37112.82205397143,39982.93107099999,42339.63117277143,45404.06221142857,46607.33271102858,47809.58665800001,48554.10812263715,49298.62958727429,50043.15105191144,50787.67251654858,51532.19398118572,52276.71544582286,53021.23691046001
38,2019-07-16,8,20087.487098472855,21062.48065411678,22037.474209760712,23012.46776540464,23987.46132104857,24962.454876692496,25937.448432336423,26912.441987980354,27887.43554362428,28862.429099268207,29837.422654912138,30812.416210556068,31787.409766199995,32968.0298844,35156.79625085714,37579.55891885715,40432.673676385726,42773.79484431429,45782.54123694284,46975.36849668571,48180.6523905,48916.54788663214,49652.443382764286,50388.33887889643,51124.23437502857,51860.129871160716,52596.02536729286,53331.920863425
38,2019-07-16,9,19922.70596466857,20903.71412834619,21884.72229202381,22865.73045570143,23846.738619379048,24827.746783056667,25808.754946734283,26789.763110411903,27770.771274089522,28751.77943776714,29732.78760144476,30713.79576512238,31694.8039288,32950.737849714285,35227.6553632,37755.853326,40602.5982758,42882.71980082857,45952.853885014294,47138.0660214,48338.703716285716,49067.16117819276,49795.6186400998,50524.07610200684,51252.53356391388,51980.99102582092,52709.44848772796,53437.905949635
38,2019-07-16,10,20005.45491972857,20987.89389140119,21970.33286307381,22952.77183474643,23935.210806419047,24917.649778091665,25900.088749764283,26882.527721436905,27864.966693109523,28847.40566478214,29829.844636454764,30812.28360812738,31794.7225798,33076.26114377142,35352.97260034285,37881.728064457144,40739.97107491429,43009.06376045714,46069.73058128572,47266.79758274287,48456.429671785714,49183.18907270418,49909.94847362265,50636.70787454112,51363.467275459596,52090.226676378064,52816.98607729653,53543.745478215
38,2019-07-16,11,20114.980298254286,21101.54156644024,22088.102834626192,23074.664102812145,24061.225370998094,25047.786639184047,26034.34790737,27020.909175555953,28007.470443741906,28994.031711927855,29980.59298011381,30967.15424829976,31953.715516485714,33210.82906971429,35463.65066554286,37981.91261382857,40811.28333951428,43150.89325861428,46190.36525504286,47295.48629657143,48476.15153085714,49236.134894748975,49996.11825864082,50756.10162253265,51516.084986424496,52276.06835031633,53036.051714208166,53796.03507810001
38,2019-07-16,12,20135.19831492857,21127.664931460713,22120.131547992856,23112.598164525,24105.064781057143,25097.531397589286,26089.998014121433,27082.464630653576,28074.93124718572,29067.397863717862,30059.864480250006,31052.33109678215,32044.797713314292,33317.800119857144,35586.144879314284,38139.015971085726,40968.6430021,43268.4148992,46317.83695679999,47486.95310035714,48676.95273034286,49410.85849140031,50144.76425245776,50878.670013515206,51612.57577457266,52346.481535630104,53080.38729668755,53814.293057745
38,2019-07-16,13,20061.568155548575,21052.817800227862,22044.067444907145,23035.31708958643,24026.566734265718,25017.816378945,26009.066023624287,27000.31566830357,27991.565312982857,28982.814957662144,29974.06460234143,30965.314247020713,31956.5638917,33243.864192,35490.58267337143,37997.47458467142,40790.98271374286,43057.05140022856,46121.45904822857,47314.80135925714,48514.60791851428,49243.642599560815,49972.67728060734,50701.71196165388,51430.74664270041,52159.781323746945,52888.81600479347,53617.85068584001
38,2019-07-16,14,20138.772118680004,21146.601483500002,22154.430848320004,23162.26021314,24170.08957796,25177.91894278,26185.7483076,27193.577672419997,28201.407037239995,29209.236402059993,30217.065766879994,31224.895131699992,32019.66649448571,33313.50215700001,35521.2184026,38015.748099000004,40788.690343071416,43104.22513902857,46191.535453571436,47394.73903220001,48584.719482714296,49318.36860285797,50052.01772300164,50785.666843145314,51519.31596328899,52252.96508343266,52986.61420357633,53720.263323720006
38,2019-07-16,15,20143.57553074286,21155.617244135068,22167.658957527274,23179.700670919483,24191.74238431169,25203.784097703898,26215.825811096103,27227.867524488312,28239.909237880518,29251.950951272727,30263.992664664933,31276.034378057142,32070.707179200002,33369.80797722857,35573.21441537143,38085.44313299999,40865.38658434285,43228.2761719,46335.70042365715,47560.29769921428,48774.2679072,49517.63054408572,50260.99318097143,51004.35581785715,51747.718454742855,52491.08109162857,53234.443728514285,53977.8063654
38,2019-07-16,16,20043.461603031432,21057.245020062343,22071.02843709325,23084.81185412416,24098.595271155067,25112.378688185978,26126.162105216885,27139.945522247795,28153.728939278702,29167.512356309613,30181.29577334052,31195.07919037143,32014.736656428566,33313.47941585714,35550.305656200006,38006.835486914286,40812.965219357146,43215.459331000005,46294.66541562857,47529.13510902857,48746.536184971425,49495.84058311408,50245.14498125673,50994.44937939938,51743.75377754204,52493.058175684695,53242.36257382735,53991.66697197
