ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(1, 2, 3)",3713.1111186630196,3651.6645594274123,3768.1328826533436,3680.188539224624,3568.4738982464874,3460.9877635919947,3547.94164614464,3699.371077882658,3754.268536122071,3562.2226835931697,3683.4414459998634,3726.209574725348,3681.8149926122437
"(1, 2, 4)",3698.7040532328465,3651.120113819069,3767.7587413495517,3689.1712239309554,3578.3402917282383,3463.072864237084,3550.0480412655224,3692.1147686238555,3756.145319621517,3565.0259373236886,3685.4499894690675,3728.0427352073557,3687.3106067000117
"(1, 3, 0)",3775.6453745205317,3784.1195331206236,3879.843189443737,3795.7397255047636,3715.874916891913,3581.6597867374257,3680.401496364282,3744.2875789754316,3845.1818719202565,3703.226906877451,3790.87167869876,3815.176359232257,3779.8824538205777
"(1, 3, 1)",3689.9776379052832,3646.3139795605794,3747.62478874968,3678.0496223320342,3568.950466885867,3474.0380438683897,3538.512772149084,3661.2580932021297,3743.800481450481,3557.529053582546,3664.7589267346984,3705.8047575870182,3663.008509968414
"(1, 3, 2)",3692.2627841674857,3648.271442265329,3750.9888717834247,3676.505133648997,3574.852130552432,3478.0332040489675,3542.2702252893087,3670.741559341317,3743.286511520362,3558.9587924275997,3672.7188735739705,3715.175210398944,3671.730216457644
"(1, 3, 3)",3691.4692516215187,3650.48145068571,3756.4360817082124,3680.407339518936,3568.7985741428756,3477.697872751921,3545.0046901410224,3672.027192052429,3746.4220154611767,3557.560700571551,3681.55889978474,3718.532444231966,3676.2172657856827
"(1, 3, 4)",3686.9806839438147,3650.525988747091,3757.3219790914673,3683.8202547812484,3570.0711886688755,3479.2071626636507,3545.042559022192,3668.5540411968295,3748.553327100216,3558.057809675379,3685.809687584265,3721.9717825844045,3676.1871479890387
"(1, 4, 0)",3943.6086750301783,3975.3257161758047,4049.2145965146105,3965.4322209642264,3903.6791933861814,3764.5895389155203,3871.840820861057,3899.677518480037,4010.4879802185305,3896.6340844940496,3956.8802892654867,3978.678400711417,3950.2444821478325
"(1, 4, 1)",3734.7769107008353,3723.696189898623,3830.982822623752,3746.0226569513648,3646.8286083223456,3528.6883766747337,3607.3788051808856,3724.327414152828,3799.7044022162,3633.995491287821,3744.217781601984,3771.5000595037463,3729.5521624268317
"(1, 4, 2)",3759.4337382815015,3760.043564321992,3861.049841385022,3780.831127327774,3686.9643006258457,3566.3200015068473,3640.730092496124,3718.761862359014,3830.093992185907,3674.6922811477452,3745.652745209174,3801.1841325127793,3752.5432417453376
"(1, 4, 3)",3757.312131907328,3726.652173660488,3839.227703378792,3754.7292926922028,3654.5353968920635,3536.411151927098,3610.500011983122,3729.558750004706,3822.1255927905117,3641.6192689980985,3769.934205507805,3797.121511225926,3742.1440213484543
"(1, 4, 4)",3748.6107730251088,3744.400347815853,3815.295050644911,3766.2035831955245,3653.323816537113,3549.7298532112673,3635.279290442778,3728.8214736942723,3821.7972502835296,3640.4412411604726,3766.4728387186597,3794.7592734541654,3746.505560420481
"(2, 0, 0)",3725.9215672028668,3664.8217459026746,3783.8493117022413,3708.672563579011,3575.328115073279,3479.4741670851804,3562.888141904943,3709.543614262759,3770.5784020480887,3566.0777722702296,3716.2916133448343,3751.1781986795504,3709.108088920885
"(2, 0, 1)",3713.9875441053664,3666.340316701183,3784.604628482588,3708.530726687886,3577.20601388114,3480.9499268356003,3564.8813095381634,3689.236440035988,3768.7801957241154,3567.7330985644294,3717.359602279169,3747.4679979680814,3698.883583361937
"(2, 0, 2)",3715.6136583393345,3668.277355942003,3781.82983374603,3708.6119547980934,3573.4603915665375,3502.0471296437263,3566.7171722085195,3691.2238542531895,3767.714785586353,3563.515192216875,3713.354294700739,3745.8647920862118,3699.9179045256415
"(2, 0, 3)",3711.4187100584404,3667.4255245675818,3783.5524600804974,3709.5251053748616,3575.282283257511,3482.5442899619634,3566.9978386195658,3690.4999031209977,3766.2876256576724,3565.42826090589,3708.469869503583,3743.3718855514553,3699.4848863122907
"(2, 0, 4)",3708.6024988250183,3664.9195390819777,3782.8526057150184,3708.3578837959694,3564.9815764159575,3472.7066696041757,3568.4583764421677,3691.876686458395,3737.4010324826686,3561.480208786013,3680.017978521634,3712.5367483989303,3685.9473324900146
"(2, 1, 0)",3947.0976758203215,3735.5342283947775,3884.2865398525173,3907.302565085776,3622.1768034210204,3639.629042388833,3656.5216049468004,3955.830505723153,4040.9609168516417,3635.3900233114455,4010.9394283211473,4039.931676090001,3895.7945524691468
"(2, 1, 1)",3936.467028031014,3721.9203225842793,3942.0857024193187,3909.3964333882122,3609.953771709911,3626.802013875199,3659.055631135268,3956.925384460009,3924.884010438304,3596.0363116184035,4015.459021471668,4033.5419040076868,3917.140221913258
"(2, 1, 2)",3955.2231788364143,3724.7449979863636,3940.9757200624817,3863.0172756644106,3610.748530011878,3629.0892612007456,3704.9451099617518,3959.7705238430112,3957.9985537735556,3599.7290442751355,4014.6673822014063,3950.165316960843,3901.996497863446
"(2, 1, 3)",3967.136901379895,3740.345986482739,3930.276437107672,3914.6103320287,3619.9900020754585,3625.47459132722,3709.017494862129,3883.1589324845845,4032.492707589242,3606.3705326932086,3989.1763907180143,3936.3850110534167,3898.8846322566424
"(2, 1, 4)",3946.4042321434963,3730.036036942508,3945.311538933144,3902.901190347147,3626.4096143605047,3624.1632698703997,3704.158188644516,3874.9099147005572,4046.2609220529475,3601.8188457680176,4013.810255282322,4046.914050539487,3888.905552523852
"(2, 2, 0)",3702.2495481053284,3652.115104747779,3764.5929108455175,3684.507777153503,3571.5108753044196,3456.9977494070563,3544.831248390242,3684.9751919725,3750.3095711493506,3559.7788422838385,3679.743654577551,3722.0737577980785,3682.125715865527
"(2, 2, 1)",3704.240310556216,3648.015604035539,3766.464208466313,3686.4820796922113,3569.660919173014,3458.9204427111235,3544.1473931212445,3686.904467962463,3752.340728801729,3560.416911617613,3681.814694348588,3724.1467531746002,3684.1483870203997
"(2, 2, 2)",3707.315484931642,3650.263435231049,3759.444008936315,3680.363636408567,3575.620033704158,3460.848314535939,3546.2308963730684,3690.5019162756903,3748.301776570736,3567.277901689601,3683.7168647850176,3720.5547952912593,3682.0402505967922
"(2, 2, 3)",3712.509054219422,3655.0510829026825,3770.7029936451017,3689.8387404584128,3581.148710209106,3463.067228372708,3549.3203572983934,3701.376477572265,3756.7377157457117,3565.291675559289,3686.7338860411805,3728.539662774848,3688.286313249797
"(2, 2, 4)",3700.191507935274,3652.713317121148,3763.6858626885287,3691.0966289434755,3581.690020196825,3465.075618410193,3552.1173293541674,3684.7039543044184,3758.138157505691,3567.394498299211,3687.56700343358,3729.9952244327856,3686.135478868999
"(2, 3, 0)",3775.8628877363926,3795.297635854255,3883.8375916702407,3806.7536686853236,3734.2737413695413,3594.775221505064,3696.606487092873,3747.0523186265004,3855.785291856869,3713.9550670779627,3803.4636529568334,3823.6678092700445,3785.580261795324
"(2, 3, 1)",3690.7801123840914,3650.6361795620815,3756.1146729638135,3673.8183683268876,3571.316272789887,3476.00204254635,3542.696877427626,3663.200827810574,3740.7121519941866,3559.414317204135,3668.777189669846,3711.750013803997,3665.98900874021
"(2, 3, 2)",3690.5614186727635,3646.167268023486,3750.9447836639724,3676.8193760993545,3578.9087072138946,3479.7342563398543,3542.6959711376458,3669.785157441157,3741.964871262955,3565.7110814699263,3668.8840688551563,3713.638908708811,3669.3346131481567
