ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Mean AIC
"(0, 4, 0)",3951.556485965134,4064.564644516322,4056.8338634069123,3984.4560733609287,3910.3399513367385,3760.7429319338653,3813.1341087971286,3903.6897214057662,4023.926857205572,3851.701571498956,4008.308081543595,4034.0698108299966,3946.9436751500766
"(0, 4, 1)",3748.968808666892,3820.911741908186,3851.5633452862576,3797.1442176204932,3723.6434277040216,3580.6147970190173,3631.85364316481,3735.149324192526,3848.2088218055887,4003.0363892099717,3819.152767670739,4112.690442394153,3806.0781438868885
"(0, 4, 2)",3738.9898429565883,3812.3995016951353,3842.120548822234,3792.2350639185197,3721.4112782995694,3578.282012712824,3651.7454526861,3733.413685514243,3843.2493428057187,3628.6852328968735,3792.9148009111623,3843.9898961566582,3748.286388281302
"(0, 4, 3)",3738.594003735633,3753.259692500764,3835.993876522311,3769.5186020284855,3683.8621144868557,3565.283691456577,3596.555042869176,3728.8967759514953,3860.5183376534624,3616.218210773446,3825.48252134218,3805.9788224744443,3731.6801409829022
"(0, 4, 4)",3730.7252765030157,3715.2165519327077,3826.2822026375698,3725.5459301884675,3641.902626637403,3553.6523833167407,3568.2487589931834,3708.803930720701,3849.773994305185,3619.9192938237443,3828.8189924367325,3818.7570681228963,3715.637250801529
"(1, 0, 0)",3876.9571456592143,3799.452053298528,3918.0823953206755,3851.3113520632755,3652.3780683635387,3584.9207086986853,3693.211612319233,3848.735116763491,3957.990817586665,3675.9062489876846,3872.0100214737813,3945.5128875438613,3806.3723690065526
"(1, 0, 1)",3798.1852401917654,3793.943243044787,3841.325836860974,3758.0163675647864,3611.0987388581802,3507.322759683947,3592.761320259594,3730.704543765214,3834.1859879894355,3609.359633096695,3778.069427215548,3828.618626955531,3723.6326437905377
"(1, 0, 2)",3791.583322960355,3774.668695735437,3833.8311761897394,3741.9359528132295,3606.594171481269,3497.4626784385646,3579.6508525019863,3703.994284486626,3818.8314136864847,3599.5795306272594,3768.188083130717,3816.6460457062994,3711.080517313165
"(1, 0, 3)",3793.0076168928235,3822.5579067895414,3825.8656379864246,3734.606685681458,3615.961224716515,3493.260487938779,3568.8441937836815,3697.455625520256,3800.743282876861,3600.4212141278526,3746.7484574923606,3795.4686834984464,3707.911751442083
"(1, 0, 4)",3783.4339097597513,3820.406343291138,3812.706411844838,3727.9573457707506,3573.334760285978,3482.437181678115,3563.992443048156,3701.3198449302645,3782.0590847489157,3584.9040710798154,3757.434277142582,3788.3889610128867,3698.197886216099
