Period,Date,Hour,System Price,Forecast,Upper,Lower,Pos,Neg
4,2019-06-09,15:00:00,11.92,30.733,38.849,23.685,0,1
4,2019-06-09,16:00:00,18.33,31.515,38.849,24.406,0,1
4,2019-06-10,00:00:00,14.59,28.71,39.079,20.193,0,1
4,2019-06-10,01:00:00,4.53,27.127,39.079,18.363,0,1
4,2019-06-10,02:00:00,4.31,25.279,39.079,14.71,0,1
4,2019-06-10,03:00:00,4.11,24.14,39.079,12.709,0,1
4,2019-06-10,04:00:00,3.79,22.005,39.079,7.901,0,1
4,2019-06-10,05:00:00,9.66,21.937,39.079,8.291,0,1
4,2019-06-11,03:00:00,19.46,26.166,39.249,15.085,0,1
4,2019-06-11,04:00:00,16.05,25.534,39.249,14.769,0,1
4,2019-06-12,03:00:00,19.31,27.31,39.409,17.789,0,1
4,2019-06-12,04:00:00,16.81,26.602,39.409,17.272,0,1
4,2019-06-13,02:00:00,18.93,23.24,39.239,6.98,0,1
4,2019-06-13,03:00:00,19.06,22.696,39.239,6.282,0,1
4,2019-06-13,04:00:00,18.15,21.645,39.239,3.594,0,1
5,2019-06-07,00:00:00,22.31,26.89,37.983,17.761,0,1
5,2019-06-07,01:00:00,19.93,25.139,37.983,13.775,0,1
5,2019-06-07,02:00:00,19.01,23.78,37.983,12.619,0,1
5,2019-06-07,03:00:00,19.07,23.241,37.983,10.321,0,1
5,2019-06-07,04:00:00,19.0,22.549,37.983,9.623,0,1
5,2019-06-08,00:00:00,14.44,28.988,38.143,21.55,0,1
5,2019-06-08,01:00:00,12.08,27.334,38.143,19.025,0,1
5,2019-06-08,02:00:00,10.61,25.797,38.143,16.4,0,1
5,2019-06-08,03:00:00,6.37,24.86,38.143,13.529,0,1
5,2019-06-08,04:00:00,3.98,23.278,38.143,11.351,0,1
5,2019-06-08,05:00:00,4.87,23.012,38.143,11.832,0,1
5,2019-06-08,06:00:00,4.69,25.25,38.143,15.234,0,1
5,2019-06-08,07:00:00,11.34,28.702,38.143,21.303,0,1
5,2019-06-08,08:00:00,15.03,32.097,38.143,25.212,0,1
5,2019-06-08,09:00:00,20.03,33.407,39.037,26.883,0,1
5,2019-06-08,10:00:00,20.04,33.598,39.228,26.883,0,1
5,2019-06-08,11:00:00,14.92,33.227,38.857,26.883,0,1
5,2019-06-08,12:00:00,14.16,32.401,38.143,25.541,0,1
5,2019-06-08,13:00:00,11.12,31.051,38.143,24.681,0,1
5,2019-06-08,14:00:00,9.57,30.096,38.143,23.539,0,1
5,2019-06-08,15:00:00,7.75,29.62,38.143,22.304,0,1
5,2019-06-08,16:00:00,8.57,29.79,38.143,23.15,0,1
5,2019-06-08,17:00:00,10.88,31.885,38.143,24.985,0,1
5,2019-06-08,18:00:00,11.02,33.16,38.79,26.883,0,1
5,2019-06-08,19:00:00,8.86,33.377,39.007,26.883,0,1
5,2019-06-08,20:00:00,5.36,32.481,38.143,25.956,0,1
5,2019-06-08,21:00:00,3.98,31.484,38.143,24.792,0,1
5,2019-06-08,22:00:00,3.02,31.037,38.143,24.053,0,1
5,2019-06-08,23:00:00,2.31,29.083,38.143,21.371,0,1
5,2019-06-09,00:00:00,13.61,28.358,38.323,20.459,0,1
5,2019-06-09,01:00:00,5.79,26.476,38.323,17.885,0,1
5,2019-06-09,02:00:00,3.82,24.799,38.323,13.81,0,1
5,2019-06-09,03:00:00,2.94,23.913,38.323,12.505,0,1
5,2019-06-09,04:00:00,2.47,22.418,38.323,10.322,0,1
5,2019-06-09,05:00:00,2.71,22.027,38.323,10.717,0,1
5,2019-06-09,06:00:00,2.56,24.064,38.323,13.111,0,1
5,2019-06-09,07:00:00,4.05,26.704,38.323,18.158,0,1
5,2019-06-09,08:00:00,13.26,29.404,38.323,22.072,0,1
5,2019-06-09,09:00:00,14.54,31.417,38.323,24.62,0,1
5,2019-06-09,10:00:00,13.94,32.21,38.323,25.167,0,1
5,2019-06-09,11:00:00,15.07,32.383,38.323,25.723,0,1
5,2019-06-09,12:00:00,15.95,32.016,38.323,25.447,0,1
5,2019-06-09,13:00:00,13.69,30.886,38.323,24.21,0,1
5,2019-06-09,14:00:00,12.26,30.16,38.323,23.681,0,1
5,2019-06-09,15:00:00,11.92,29.97,38.323,23.154,0,1
5,2019-06-09,16:00:00,18.33,30.51,38.323,23.704,0,1
5,2019-06-10,00:00:00,14.59,28.073,38.473,21.097,0,1
5,2019-06-10,01:00:00,4.53,26.443,38.473,16.661,0,1
5,2019-06-10,02:00:00,4.31,24.637,38.473,14.033,0,1
5,2019-06-10,03:00:00,4.11,23.669,38.473,12.573,0,1
5,2019-06-10,04:00:00,3.79,21.483,38.473,8.31,0,1
5,2019-06-10,05:00:00,9.66,21.392,38.473,8.797,0,1
5,2019-06-11,03:00:00,19.46,25.616,38.703,15.132,0,1
5,2019-06-11,04:00:00,16.05,25.018,38.703,15.068,0,1
5,2019-06-12,03:00:00,19.31,26.716,38.873,16.488,0,1
5,2019-06-12,04:00:00,16.81,26.036,38.873,15.157,0,1
5,2019-06-13,02:00:00,18.93,24.182,39.033,13.286,0,1
5,2019-06-13,03:00:00,19.06,23.773,39.033,12.413,0,1
5,2019-06-13,04:00:00,18.15,22.915,39.033,9.385,0,1
6,2019-06-08,00:00:00,14.44,28.081,37.625,20.983,0,1
6,2019-06-08,01:00:00,12.08,25.986,37.625,17.554,0,1
6,2019-06-08,02:00:00,10.61,24.486,37.625,14.606,0,1
6,2019-06-08,03:00:00,6.37,23.605,37.625,13.382,0,1
6,2019-06-08,04:00:00,3.98,22.437,37.625,11.689,0,1
6,2019-06-08,05:00:00,4.87,22.256,37.625,10.747,0,1
6,2019-06-08,06:00:00,4.69,24.46,37.625,14.154,0,1
6,2019-06-08,07:00:00,11.34,27.988,37.625,19.877,0,1
6,2019-06-08,08:00:00,15.03,31.385,37.625,24.828,0,1
6,2019-06-08,09:00:00,20.03,32.747,38.217,26.491,0,1
6,2019-06-08,10:00:00,20.04,32.889,38.359,26.685,0,1
6,2019-06-08,11:00:00,14.92,32.559,38.029,26.685,0,1
6,2019-06-08,12:00:00,14.16,31.666,37.625,24.892,0,1
6,2019-06-08,13:00:00,11.12,30.429,37.625,23.355,0,1
6,2019-06-08,14:00:00,9.57,29.442,37.625,23.195,0,1
6,2019-06-08,15:00:00,7.75,28.929,37.625,22.201,0,1
6,2019-06-08,16:00:00,8.57,29.059,37.625,21.791,0,1
6,2019-06-08,17:00:00,10.88,31.085,37.625,24.771,0,1
6,2019-06-08,18:00:00,11.02,32.532,38.002,26.317,0,1
6,2019-06-08,19:00:00,8.86,32.692,38.162,26.33,0,1
6,2019-06-08,20:00:00,5.36,31.813,37.625,25.217,0,1
6,2019-06-08,21:00:00,3.98,30.612,37.625,24.121,0,1
6,2019-06-08,22:00:00,3.02,30.181,37.625,23.563,0,1
6,2019-06-08,23:00:00,2.31,27.685,37.625,21.28,0,1
6,2019-06-09,00:00:00,13.61,27.474,37.785,18.781,0,1
6,2019-06-09,01:00:00,5.79,25.176,37.785,15.939,0,1
6,2019-06-09,02:00:00,3.82,23.546,37.785,13.087,0,1
6,2019-06-09,03:00:00,2.94,22.714,37.785,10.356,0,1
6,2019-06-09,04:00:00,2.47,21.418,37.785,7.837,0,1
6,2019-06-09,05:00:00,2.71,20.967,37.785,8.01,0,1
6,2019-06-09,06:00:00,2.56,23.322,37.785,12.135,0,1
6,2019-06-09,07:00:00,4.05,26.047,37.785,16.4,0,1
6,2019-06-09,08:00:00,13.26,28.78,37.785,21.643,0,1
6,2019-06-09,09:00:00,14.54,30.598,37.785,23.809,0,1
6,2019-06-09,10:00:00,13.94,31.391,37.785,24.35,0,1
6,2019-06-09,11:00:00,15.07,31.658,37.785,25.06,0,1
6,2019-06-09,12:00:00,15.95,31.128,37.785,24.606,0,1
6,2019-06-09,13:00:00,13.69,30.283,37.785,24.149,0,1
6,2019-06-09,14:00:00,12.26,29.508,37.785,23.025,0,1
6,2019-06-09,15:00:00,11.92,29.267,37.785,22.354,0,1
6,2019-06-09,16:00:00,18.33,29.807,37.785,22.622,0,1
6,2019-06-10,00:00:00,14.59,27.302,37.965,19.061,0,1
