Date,SE1,SE2,SE3,SE4,FI,DK1,DK2,EE,LV,LT
21-09-2019,,,,,9168.0,11162,3633,2459,363,4654
22-09-2019,,,,,17088.0,13404,4089,1755,226,2952
23-09-2019,,,,,11380.0,43725,14694,573,52,2642
24-09-2019,,,,,4201.0,9011,1537,253,130,2447
25-09-2019,,,,,9513.0,19173,3567,435,158,3651
26-09-2019,,,,,5957.0,35868,4756,106,155,2332
27-09-2019,,,,,3040.0,22298,7800,398,122,1872
28-09-2019,,,,,11453.0,41420,11889,1352,363,4347
29-09-2019,,,,,10694.0,21028,14033,1281,321,4086
30-09-2019,,,,,10372.0,52338,16903,606,116,3256
01-10-2019,,,,,26248.0,32230,4207,4120,911,6682
02-10-2019,,,,,29862.0,38702,10740,2199,287,1395
03-10-2019,,,,,20393.0,9803,4268,909,50,1457
04-10-2019,,,,,18752.0,29691,5573,1387,104,2336
05-10-2019,,,,,15978.0,25775,9641,689,79,2132
06-10-2019,,,,,7143.0,18253,3134,488,24,667
07-10-2019,,,,,5931.0,8295,1619,85,26,1042
08-10-2019,,,,,6331.0,34005,11931,450,155,3735
09-10-2019,,,,,8080.0,27709,11822,176,149,4254
10-10-2019,,,,,7169.0,30658,15657,127,86,2676
11-10-2019,,,,,10157.0,46253,21438,1919,772,7667
12-10-2019,,,,,5855.0,54211,16489,3476,1026,9003
13-10-2019,,,,,4988.0,25346,7286,2478,508,3676
14-10-2019,,,,,5002.0,36584,12135,1818,842,8533
15-10-2019,,,,,9751.0,29705,8142,782,261,3615
16-10-2019,,,,,10407.0,3071,2245,1181,181,4967
17-10-2019,,,,,12439.0,14197,5130,671,320,5779
18-10-2019,,,,,7744.0,27560,10587,311,120,1484
19-10-2019,,,,,17759.0,42526,13744,1963,317,1901
20-10-2019,,,,,12854.0,11589,1598,868,201,2019
21-10-2019,,,,,8840.0,5782,3853,1260,61,1069
22-10-2019,,,,,33889.0,25684,8745,3275,685,4157
23-10-2019,,,,,22899.0,23054,3227,2077,541,3598
24-10-2019,,,,,20104.0,33127,7584,1606,218,2948
25-10-2019,,,,,28528.0,51718,15799,4340,802,4933
26-10-2019,,,,,26891.0,35327,20936,4263,1059,8077
27-10-2019,,,,,8560.0,52890,21058,2380,1070,8765
28-10-2019,,,,,5731.0,24004,9289,376,170,1765
29-10-2019,,,,,15064.0,5127,3044,1169,184,2351
30-10-2019,,,,,14326.0,12012,1013,900,74,940
31-10-2019,,,,,18287.0,12272,2293,1929,303,4074
01-11-2019,,,,,8464.0,29744,8730,1054,136,2478
02-11-2019,,,,,20308.0,26639,6418,2669,496,7462
03-11-2019,,,,,8903.0,15055,2591,644,128,3502
04-11-2019,,,,,7535.0,61390,10633,4070,544,2348
05-11-2019,,,,,9313.0,35040,6908,4682,475,4321
06-11-2019,,,,,7634.0,4470,1387,3279,260,4144
07-11-2019,,,,,5690.0,11479,2061,573,26,1728
08-11-2019,,,,,4176.0,16568,3440,833,245,2243
09-11-2019,,,,,10147.0,6847,1625,825,129,2605
10-11-2019,,,,,16369.0,8462,2835,2277,380,3624
11-11-2019,,,,,9629.0,40207,12175,353,43,825
12-11-2019,,,,,14421.0,59524,15678,2237,466,5860
13-11-2019,,,,,20643.0,39812,8060,2627,206,4863
14-11-2019,,,,,11844.0,17882,4420,3340,384,3904
15-11-2019,,,,,11553.0,61500,18646,800,263,4188
16-11-2019,,,,,8150.0,25363,10530,1020,272,4909
17-11-2019,,,,,18604.0,21911,9533,2221,285,2567
18-11-2019,,,,,10495.0,26928,10466,942,263,5647
19-11-2019,,,,,27973.0,23886,14701,2430,402,4420
20-11-2019,,,,,24030.0,8344,1890,899,275,4932
21-11-2019,,,,,13129.0,21130,3276,1713,673,9436
22-11-2019,,,,,13349.0,31279,5255,1926,613,9345
23-11-2019,,,,,8353.0,60985,15842,1098,233,6227
24-11-2019,,,,,9274.0,62907,14569,533,94,3506
25-11-2019,,,,,8064.0,18492,4855,543,107,2405
26-11-2019,,,,,7624.0,12189,4188,633,31,737
27-11-2019,,,,,9960.0,25370,8237,1236,131,2902
28-11-2019,,,,,16480.0,18333,14447,3503,413,6612
29-11-2019,,,,,13897.0,43982,17470,4081,580,8174
30-11-2019,,,,,28673.0,19870,6545,2256,630,5054
01-12-2019,,,,,37057.0,20595,4699,4008,416,3253
02-12-2019,,,,,34013.0,29491,10710,1825,147,2791
03-12-2019,,,,,25268.0,39349,10027,2476,558,4284
04-12-2019,,,,,31852.0,42550,12067,3416,612,7914
05-12-2019,,,,,36248.0,71315,13905,4828,1131,7505
06-12-2019,,,,,17284.0,73205,23768,4613,1236,9147
07-12-2019,,,,,15641.0,60248,19541,4265,1061,8130
08-12-2019,,,,,13879.0,66292,21606,4294,992,9682
09-12-2019,,,,,22087.0,64351,20819,4912,1186,8522
10-12-2019,,,,,16225.0,47690,12551,1863,373,4514
11-12-2019,,,,,38321.0,46890,12512,4281,781,5794
12-12-2019,,,,,31035.0,28016,6971,3237,449,5583
13-12-2019,,,,,18916.0,54263,12986,1932,523,7562
14-12-2019,,,,,,35740,11687,3078,752,8548
15-12-2019,,,,,,62572,17898,1902,534,7159
16-12-2019,,,,,4278.0,47162,11724,1879,834,8160
17-12-2019,,,,,6468.0,15417,7756,2313,248,2413
18-12-2019,,,,,10396.0,37120,13100,4271,946,9000
19-12-2019,,,,,15239.0,47531,10124,2835,317,3901
20-12-2019,,,,,12131.0,56372,8410,2173,387,7062
21-12-2019,,,,,8881.0,27543,5951,1654,213,4011
22-12-2019,,,,,11639.0,27647,6585,646,90,1357
23-12-2019,,,,,10316.0,20853,8296,304,76,453
24-12-2019,,,,,3136.0,20218,5806,234,15,655
25-12-2019,,,,,3147.0,14595,2601,447,30,1017
26-12-2019,,,,,11487.0,7682,3498,687,20,673
27-12-2019,,,,,19331.0,7948,2458,2983,280,3515
28-12-2019,,,,,28746.0,24400,1544,1771,180,3815
29-12-2019,,,,,38036.0,66194,10799,4171,675,3680
30-12-2019,,,,,35294.0,67269,16364,5142,1170,10481
31-12-2019,,,,,28204.0,52497,12482,4743,893,9641
