Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
17-05-2015,846.0,3676.0,22030.0,24921.0,59457,16220,494,527,3606
18-05-2015,1508.0,2294.0,5349.0,9342.0,25630,5550,701,503,3082
19-05-2015,1666.0,4784.0,15225.0,9695.0,38418,6585,789,148,972
20-05-2015,798.0,5414.0,9334.0,7906.0,14943,2787,797,78,646
21-05-2015,1862.0,8155.0,8743.0,4362.0,8764,2183,1024,128,1118
22-05-2015,4169.0,17190.0,28646.0,8723.0,33957,2556,1128,172,329
23-05-2015,6741.0,24194.0,21448.0,10695.0,35507,3742,2747,270,818
24-05-2015,4893.0,12674.0,11831.0,6315.0,25193,1469,1305,175,218
25-05-2015,535.0,2969.0,12784.0,4838.0,13141,1245,961,141,373
26-05-2015,442.0,2820.0,6331.0,8504.0,41093,7451,525,139,861
27-05-2015,3142.0,13395.0,9290.0,12175.0,39688,9122,532,68,1079
28-05-2015,3077.0,9610.0,12570.0,11526.0,42719,9389,495,95,396
29-05-2015,3090.0,11156.0,22770.0,10980.0,27974,6099,1048,193,797
30-05-2015,2677.0,9373.0,19708.0,17458.0,50071,14949,1068,469,2437
31-05-2015,5138.0,17558.0,30876.0,19877.0,46943,11253,2939,640,1617
01-06-2015,5700.0,19201.0,32515.0,17119.0,50928,8838,2848,401,2013
02-06-2015,8901.0,20931.0,26502.0,19022.0,60667,14252,575,143,600
03-06-2015,2260.0,14096.0,37196.0,27852.0,64680,15612,4632,866,3594
04-06-2015,5574.0,24958.0,25273.0,14720.0,18036,2971,3619,474,2626
05-06-2015,7502.0,15073.0,6453.0,5486.0,21575,5653,1304,111,322
06-06-2015,1786.0,12905.0,25888.0,14995.0,40393,9482,1600,367,1628
07-06-2015,4263.0,18818.0,33292.0,17702.0,50755,7551,3821,451,1228
08-06-2015,3655.0,17503.0,10320.0,7489.0,26214,3318,2105,187,1064
09-06-2015,5775.0,11353.0,5114.0,2403.0,4353,725,1116,136,698
10-06-2015,9017.0,20838.0,19426.0,8722.0,23134,886,2320,212,564
11-06-2015,7175.0,16579.0,11041.0,5235.0,15814,1118,1655,124,1226
12-06-2015,4331.0,10324.0,8823.0,2977.0,2159,408,2033,220,293
13-06-2015,4316.0,9417.0,7918.0,3987.0,7257,2238,1173,82,379
14-06-2015,1482.0,5000.0,13655.0,14091.0,45247,8164,1152,304,1488
15-06-2015,4119.0,22809.0,10531.0,10687.0,42413,6334,2426,264,1502
16-06-2015,8863.0,25407.0,7251.0,5502.0,25971,3031,2213,127,523
17-06-2015,1975.0,6552.0,11416.0,10902.0,35245,5111,1366,112,269
18-06-2015,690.0,3610.0,6278.0,11804.0,46395,8103,2123,405,1144
19-06-2015,1030.0,5405.0,6648.0,5868.0,32718,10595,786,166,446
20-06-2015,1402.0,5115.0,4273.0,3140.0,17795,6167,91,38,286
21-06-2015,1036.0,2973.0,1361.0,2403.0,7048,2920,197,16,136
22-06-2015,850.0,2115.0,2370.0,3296.0,7102,3216,173,26,271
23-06-2015,614.0,1996.0,2710.0,3265.0,10260,2118,725,187,1424
24-06-2015,1881.0,6162.0,10989.0,13338.0,53618,11183,2626,498,2016
25-06-2015,1827.0,15806.0,15017.0,12778.0,32115,3428,2089,505,1668
26-06-2015,1508.0,9355.0,6791.0,5922.0,7551,791,801,234,1235
27-06-2015,1273.0,5508.0,3013.0,1233.0,9611,2985,493,57,449
28-06-2015,1279.0,6001.0,7557.0,2340.0,15407,3397,425,35,193
29-06-2015,1048.0,4006.0,10421.0,4063.0,15969,1879,507,75,331
30-06-2015,879.0,7679.0,5571.0,5304.0,10728,1966,598,88,385
01-07-2015,1001.0,3686.0,2516.0,1598.0,8473,2508,1528,158,889
02-07-2015,1635.0,7317.0,6599.0,7458.0,39974,9604,360,30,658
03-07-2015,2391.0,12290.0,13953.0,6372.0,9619,3398,2056,32,198
04-07-2015,3573.0,14507.0,3996.0,2296.0,3609,1425,1693,106,343
05-07-2015,1372.0,6463.0,3500.0,1153.0,3416,1074,671,47,88
06-07-2015,4540.0,14050.0,24995.0,17420.0,50987,11633,1186,364,2286
07-07-2015,1449.0,10413.0,28564.0,14181.0,19454,2774,3366,764,3116
08-07-2015,1277.0,3986.0,11019.0,15520.0,49210,12877,1201,382,1942
09-07-2015,4712.0,14094.0,16962.0,22597.0,67877,18035,2516,702,2896
10-07-2015,3265.0,15945.0,22458.0,21535.0,55653,16130,551,365,3029
11-07-2015,2267.0,7124.0,6399.0,4286.0,4465,890,811,309,2278
12-07-2015,854.0,1624.0,2767.0,1138.0,5904,2579,1030,103,1070
13-07-2015,659.0,1220.0,1936.0,2218.0,7614,2267,206,15,233
14-07-2015,564.0,2086.0,2582.0,3541.0,20860,1488,173,18,168
15-07-2015,635.0,5853.0,4182.0,9552.0,38968,6023,497,22,895
16-07-2015,554.0,9649.0,9444.0,9616.0,23487,1223,540,175,1015
17-07-2015,1754.0,10467.0,9967.0,4263.0,21315,3406,649,306,1947
18-07-2015,2384.0,12864.0,28068.0,11273.0,44839,8638,817,197,838
19-07-2015,1747.0,4731.0,19483.0,7919.0,18327,2134,1716,266,1131
20-07-2015,2512.0,7130.0,8018.0,4931.0,10687,6202,618,120,1665
21-07-2015,1165.0,3345.0,9306.0,11407.0,35172,9911,834,168,733
22-07-2015,468.0,720.0,15363.0,7487.0,14873,2493,2655,429,1535
23-07-2015,343.0,2723.0,17307.0,13449.0,35511,6006,1042,179,1394
24-07-2015,1085.0,4884.0,17289.0,5455.0,7713,1692,2769,350,1159
25-07-2015,463.0,3530.0,13214.0,10376.0,36440,8948,884,282,1849
26-07-2015,3781.0,13357.0,18577.0,20498.0,56143,15368,2411,615,2604
27-07-2015,4526.0,7341.0,14562.0,6939.0,18295,4921,2003,359,818
28-07-2015,1424.0,3354.0,8247.0,6187.0,10447,12818,360,107,631
29-07-2015,1404.0,926.0,6991.0,8662.0,31920,13297,388,309,1242
30-07-2015,1967.0,10821.0,6136.0,4990.0,26777,13357,1490,259,2300
31-07-2015,710.0,14239.0,7244.0,13227.0,52598,13210,1886,158,2292
01-08-2015,2582.0,12525.0,9056.0,4239.0,9336,1072,1351,213,1562
