,data,forecast,lower,upper
106,56.25,46.08044698667889,10.690683584882116,81.47021038847566
107,56.71,47.41381202652442,11.869241397986933,82.95838265506191
108,56.19,48.78349035031472,13.10523745235124,84.4617432482782
109,55.75,48.91137423841386,13.117615947172865,84.70513252965486
110,56.07,49.22365932027517,13.330052672899697,85.11726596765064
111,55.97,49.357345373486154,13.37738926473061,85.3373014822417
112,56.82,51.19246845640409,15.137810242459516,87.24712667034868
113,58.05,51.9307055916894,15.811401803222203,88.05000938015661
114,56.9,52.773933209465696,16.598671835592185,88.9491945833392
115,55.19,54.05176073516521,17.828051178414142,90.27547029191628
116,54.23,53.82310112260312,17.557436847716197,90.08876539749005
117,54.07,53.00130224686018,16.699300285829658,89.3033042078907
118,52.82,52.85338873849589,16.51990952059841,89.18686795639337
119,51.01,51.949980167019966,15.58923057900352,88.31072975503642
120,50.04,52.32271681093826,15.220164573495225,89.4252690483813
121,48.7,51.50548062391859,13.771548537313876,89.2394127105233
122,48.41,50.87204459098557,12.59910291210047,89.14498626987066
123,48.37,50.78049268727546,12.046272187823078,89.51471318672785
124,48.53,50.58340362286113,11.453631442535055,89.7131758031872
125,49.07,49.45148000796503,9.981952327246006,88.92100768868406
126,49.21,48.44185049962824,8.680086822507903,88.20361417674857
127,49.66,44.74530120974608,4.731881178294664,84.75872124119749
128,51.48,41.20540639555889,0.9750613243011514,81.43575146681663
129,53.5,42.38316060613704,1.965672550630707,82.80064866164338
130,54.11,45.898559814086894,5.3195075881397855,86.477612040034
131,53.88,47.22686443024465,6.508246505630645,87.94548235485865
132,53.73,48.650133082819224,7.81089046023768,89.48937570540076
133,52.12,48.78289725179022,7.839354358632285,89.72644014494816
134,50.97,49.15519115140526,8.121429059275464,90.18895324353505
