Month,Weekday,Hour,Factor
3,6,10,1.02823
3,6,11,1.01823
3,6,12,0.996681
3,6,13,0.984025
3,6,14,0.972937
3,6,15,0.975759
3,6,16,0.988595
3,6,17,1.02675
3,6,18,1.06625
3,6,19,1.04469
3,6,20,1.02094
3,6,21,1.00325
3,6,22,0.993734
3,6,23,0.967872
3,7,0,0.99305
3,7,1,0.969814
3,7,2,0.960743
3,7,3,0.959732
3,7,4,0.953118
3,7,5,0.957914
3,7,6,0.964909
3,7,7,0.973856
3,7,8,0.994257
3,7,9,1.01029
3,7,10,1.01737
3,7,11,1.01596
3,7,12,1.00412
3,7,13,0.99096
3,7,14,0.984331
3,7,15,0.973859
3,7,16,0.989569
3,7,17,1.01952
3,7,18,1.06745
3,7,19,1.08562
3,7,20,1.06858
3,7,21,1.04683
3,7,22,1.02842
3,7,23,0.998639
4,1,0,0.925279
4,1,1,0.906995
4,1,2,0.8892
4,1,3,0.888393
4,1,4,0.896987
4,1,5,0.94818
4,1,6,1.00606
4,1,7,1.11138
4,1,8,1.16412
4,1,9,1.1044
4,1,10,1.08293
4,1,11,1.06066
4,1,12,1.02951
4,1,13,1.01376
4,1,14,0.981073
4,1,15,0.970375
4,1,16,0.973062
4,1,17,0.996029
4,1,18,1.01372
4,1,19,1.03715
4,1,20,1.03538
4,1,21,1.01032
4,1,22,0.96589
4,1,23,0.92293
4,2,0,0.92517
4,2,1,0.902818
4,2,2,0.899417
4,2,3,0.895158
4,2,4,0.901993
4,2,5,0.941176
4,2,6,1.01234
4,2,7,1.10348
4,2,8,1.15419
4,2,9,1.10066
4,2,10,1.07056
4,2,11,1.05526
4,2,12,1.02821
4,2,13,1.01102
4,2,14,0.990127
4,2,15,0.987306
4,2,16,0.988011
4,2,17,1.00348
4,2,18,1.02164
4,2,19,1.04528
4,2,20,1.03902
4,2,21,1.00812
4,2,22,0.982793
4,2,23,0.929856
4,3,0,0.915238
4,3,1,0.906782
4,3,2,0.899977
4,3,3,0.897868
4,3,4,0.906146
4,3,5,0.949811
4,3,6,1.01381
4,3,7,1.09045
4,3,8,1.15062
4,3,9,1.1193
4,3,10,1.08194
4,3,11,1.04193
4,3,12,1.01816
4,3,13,1.00572
4,3,14,0.993413
4,3,15,0.985637
4,3,16,0.986413
4,3,17,0.998186
4,3,18,1.02075
4,3,19,1.03475
4,3,20,1.02917
4,3,21,1.01072
4,3,22,0.975952
