Period,mape,smape,mae,rmse
193.000,3.494,3.580,1.318,1.548
194.000,3.617,3.711,1.374,1.638
195.000,3.003,3.107,1.140,1.694
196.000,3.190,3.303,1.192,1.792
197.000,3.766,3.902,1.421,1.980
198.000,4.052,4.211,1.537,2.101
199.000,4.270,4.436,1.623,2.151
200.000,4.306,4.456,1.640,2.080
201.000,4.566,4.748,1.745,2.235
202.000,4.805,4.994,1.838,2.277
203.000,4.496,4.646,1.722,2.084
204.000,4.995,5.197,1.923,2.351
205.000,5.353,5.572,2.066,2.450
206.000,4.958,5.150,1.912,2.293
207.000,2.602,2.680,0.991,1.461
208.000,2.226,2.273,0.850,1.205
209.000,2.604,2.572,1.011,1.086
210.000,3.828,3.726,1.418,1.613
211.000,3.870,3.767,1.434,1.624
212.000,3.231,3.152,1.183,1.394
213.000,2.994,2.915,1.072,1.374
214.000,3.558,3.449,1.255,1.618
215.000,3.616,3.506,1.259,1.626
216.000,3.903,3.787,1.339,1.664
217.000,4.176,4.044,1.434,1.757
218.000,3.345,3.250,1.117,1.508
219.000,3.528,3.431,1.180,1.528
220.000,3.970,3.858,1.339,1.660
221.000,4.311,4.192,1.460,1.725
222.000,4.805,4.668,1.628,1.844
223.000,4.982,4.849,1.690,1.838
224.000,4.061,4.023,1.402,1.517
225.000,5.163,5.007,1.765,1.943
226.000,5.169,5.019,1.771,1.919
227.000,3.741,3.685,1.292,1.364
228.000,2.794,2.804,0.985,1.170
229.000,2.985,3.003,1.052,1.221
230.000,3.098,3.120,1.090,1.238
231.000,3.340,3.306,1.170,1.278
232.000,3.351,3.374,1.178,1.339
233.000,4.229,4.324,1.492,1.834
234.000,5.160,5.394,1.831,2.416
235.000,5.513,5.755,1.945,2.451
236.000,6.426,6.739,2.248,2.720
237.000,7.615,8.034,2.647,3.093
238.000,9.081,9.633,3.155,3.523
239.000,8.938,9.465,3.112,3.456
240.000,8.121,8.581,2.813,3.223
241.000,7.829,8.277,2.686,3.151
242.000,7.845,8.290,2.669,3.118
243.000,8.863,9.395,2.989,3.364
244.000,10.329,11.014,3.433,3.728
245.000,10.392,11.057,3.426,3.688
246.000,9.576,10.131,3.098,3.343
247.000,9.127,9.675,2.925,3.384
248.000,9.675,10.309,3.107,3.749
249.000,11.949,12.912,3.905,4.476
250.000,11.925,12.885,3.909,4.538
251.000,11.233,12.073,3.643,4.307
252.000,10.651,11.388,3.417,4.114
253.000,11.466,12.256,3.692,4.251
254.000,11.805,12.594,3.826,4.304
255.000,12.036,12.807,3.920,4.321
256.000,12.699,13.503,4.155,4.439
257.000,11.885,12.517,3.880,4.176
258.000,11.803,12.342,3.811,4.102
259.000,15.708,17.134,5.257,5.422
260.000,13.481,14.512,4.525,4.641
261.000,7.930,8.297,2.655,2.786
262.000,5.115,5.291,1.711,1.927
263.000,4.886,5.035,1.635,1.793
264.000,4.321,4.416,1.445,1.556
265.000,5.297,5.470,1.802,1.943
266.000,5.644,5.826,1.925,1.998
267.000,5.095,5.252,1.795,1.955
268.000,4.416,4.541,1.563,1.757
269.000,4.257,4.370,1.519,1.693
270.000,3.687,3.765,1.323,1.513
271.000,3.600,3.648,1.290,1.480
272.000,2.438,2.434,0.893,1.195
273.000,2.198,2.176,0.813,1.168
274.000,2.519,2.483,0.929,1.274
275.000,2.729,2.708,1.018,1.333
276.000,3.448,3.366,1.281,1.724
277.000,4.033,3.932,1.510,1.990
278.000,4.694,4.543,1.753,2.242
279.000,5.520,5.322,2.043,2.468
280.000,5.842,5.638,2.165,2.523
281.000,8.941,8.462,3.310,3.785
282.000,8.465,7.967,3.133,3.873
283.000,10.362,9.687,3.840,4.519
284.000,8.929,8.384,3.325,4.095
285.000,9.152,8.613,3.387,4.093
286.000,11.324,10.532,4.157,4.808
287.000,12.233,11.375,4.490,5.005
288.000,11.486,10.717,4.251,4.765
289.000,12.083,11.229,4.529,5.136
290.000,11.107,10.259,4.232,5.268
291.000,12.437,11.328,4.781,6.149
292.000,14.765,13.343,5.661,6.935
293.000,16.484,14.880,6.287,7.313
294.000,17.581,15.883,6.694,7.500
295.000,14.456,13.165,5.553,6.586
296.000,13.086,11.971,5.111,6.215
297.000,12.958,11.892,5.136,6.124
298.000,14.208,13.005,5.777,6.749
299.000,14.161,13.007,5.810,6.645
300.000,14.064,12.994,5.788,6.460
301.000,17.055,15.525,7.056,7.587
302.000,16.769,15.327,6.988,7.422
303.000,14.361,13.281,6.012,6.444
304.000,11.631,10.881,4.920,5.437
305.000,9.329,8.769,4.023,4.804
306.000,8.991,8.434,3.886,4.770
307.000,9.327,8.755,4.015,4.806
308.000,9.489,8.922,4.072,4.751
309.000,9.760,9.189,4.194,4.758
310.000,10.815,10.161,4.627,5.071
311.000,12.234,11.439,5.244,5.618
312.000,10.991,10.351,4.693,5.105
313.000,13.839,12.834,5.826,6.213
314.000,12.845,11.953,5.356,5.776
315.000,12.749,11.900,5.292,5.608
316.000,8.029,7.609,3.313,3.891
317.000,7.615,7.231,3.158,3.728
318.000,8.468,8.011,3.520,4.099
319.000,9.484,8.879,3.927,4.725
320.000,9.608,8.996,3.976,4.745
321.000,10.393,9.738,4.294,4.901
322.000,10.555,9.907,4.354,4.857
323.000,9.825,9.259,4.056,4.535
324.000,7.805,7.404,3.219,3.804
325.000,7.170,6.824,2.947,3.523
326.000,5.163,4.962,2.109,2.711
327.000,3.985,3.898,1.621,2.225
328.000,4.705,4.646,1.876,2.458
329.000,5.812,5.694,2.297,2.884
330.000,5.838,5.770,2.282,2.795
331.000,6.894,6.851,2.719,3.228
332.000,5.921,6.153,2.238,2.918
333.000,7.328,7.786,2.738,3.433
334.000,7.751,8.226,2.889,3.499
335.000,7.659,8.112,2.828,3.413
336.000,8.782,9.335,3.214,3.720
337.000,10.637,11.393,3.936,4.394
338.000,9.995,10.660,3.696,4.141
339.000,10.542,11.228,3.908,4.217
340.000,9.697,10.277,3.598,3.894
341.000,7.508,7.875,2.795,3.133
342.000,5.115,5.318,1.916,2.366
343.000,4.473,4.634,1.678,2.123
344.000,4.693,4.864,1.761,2.192
345.000,3.531,3.550,1.303,1.728
346.000,4.615,4.677,1.691,2.121
347.000,5.392,5.346,1.970,2.558
348.000,5.698,5.597,2.092,2.678
349.000,6.223,6.054,2.272,2.834
350.000,6.764,6.467,2.448,3.058
351.000,9.110,8.571,3.229,3.803
352.000,7.908,7.490,2.743,3.312
