Period,mape,smape,mae,rmse
149.000,39.422,26.783,7.155,9.101
150.000,41.060,28.183,7.616,9.293
151.000,29.851,20.776,5.103,7.043
152.000,31.797,21.902,5.491,7.462
153.000,35.129,24.373,6.273,8.006
154.000,32.474,22.585,5.651,7.443
155.000,34.468,24.138,6.162,7.757
156.000,30.105,21.027,5.128,6.946
157.000,26.780,18.602,4.358,6.365
158.000,17.362,11.939,2.416,4.653
159.000,18.022,12.260,2.511,4.825
160.000,15.566,16.987,4.423,4.653
161.000,12.385,13.364,3.637,3.966
162.000,12.312,13.231,3.641,3.867
163.000,5.230,5.385,1.540,1.725
164.000,5.217,5.363,1.544,1.708
165.000,4.762,4.876,1.406,1.575
166.000,3.361,3.399,0.987,1.228
167.000,3.493,3.531,1.023,1.239
168.000,4.089,3.925,1.065,1.508
169.000,4.158,3.986,1.079,1.520
170.000,4.540,4.371,1.181,1.579
171.000,5.495,5.282,1.425,1.887
172.000,5.727,5.715,1.528,2.072
173.000,6.534,6.624,1.779,2.335
174.000,7.994,8.267,2.200,2.829
175.000,10.959,11.790,3.107,3.760
176.000,9.703,10.314,2.713,3.449
177.000,10.513,11.156,2.973,3.636
178.000,11.414,12.081,3.271,3.827
179.000,12.876,13.818,3.798,4.338
180.000,13.641,14.549,4.093,4.510
181.000,15.922,17.375,4.943,5.424
182.000,20.772,23.416,6.639,7.021
183.000,19.317,21.606,6.342,6.748
184.000,18.275,20.299,6.128,6.503
185.000,16.604,18.276,5.701,6.086
186.000,14.493,15.799,5.100,5.531
187.000,14.964,16.277,5.318,5.596
188.000,12.494,13.438,4.538,4.870
189.000,10.597,11.317,3.910,4.301
190.000,11.570,12.370,4.275,4.528
191.000,10.434,11.092,3.880,4.129
192.000,9.949,10.533,3.717,3.907
193.000,9.227,9.717,3.466,3.603
194.000,7.916,8.269,2.983,3.083
195.000,5.309,5.476,2.002,2.132
196.000,3.096,3.166,1.159,1.368
197.000,2.642,2.693,0.989,1.190
198.000,2.421,2.463,0.907,1.085
199.000,1.861,1.885,0.694,0.901
200.000,2.100,2.115,0.791,1.009
201.000,2.481,2.482,0.947,1.187
202.000,2.686,2.659,1.035,1.322
203.000,2.993,2.945,1.161,1.460
204.000,2.854,2.834,1.116,1.361
205.000,3.148,3.137,1.234,1.432
206.000,3.458,3.438,1.359,1.513
