Date,Hour,MAE d,MAE s
2014-07-19,11,40.61,36.81
2014-07-19,12,40.32,36.44
2014-07-19,13,36.8,37.4
2014-07-19,14,36.43,36.59
2014-07-19,15,34.5,36.15
2014-07-19,16,37.25,33.04
2014-07-19,17,33.2,33.16
2014-07-19,18,33.65,29.45
2014-07-19,19,38.9,29.75
2014-07-19,20,37.94,30.1
2014-07-19,21,37.78,30.63
2014-07-19,22,39.24,31.33
2014-07-19,23,33.95,31.94
2014-07-20,0,35.18,28.87
2014-07-20,1,34.99,28.81
2014-07-20,2,34.94,29.87
2014-07-20,3,34.68,30.2
2014-07-20,4,34.62,30.45
2014-07-20,5,34.23,30.46
2014-07-20,6,34.83,31.3
2014-07-20,7,29.24,32.75
2014-07-20,8,29.83,30.33
2014-07-20,9,34.16,36.4
2014-07-20,10,35.41,36.04
2014-07-20,11,40.27,35.92
2014-07-20,12,38.13,35.56
2014-07-20,13,39.36,36.24
2014-07-20,14,39.28,36.07
2014-07-20,15,38.92,33.3
2014-07-20,16,38.96,32.81
2014-07-20,17,34.32,31.22
2014-07-20,18,34.31,30.77
2014-07-20,19,39.91,29.48
2014-07-20,20,40.37,29.65
2014-07-20,21,40.26,31.61
2014-07-20,22,40.33,30.16
2014-07-20,23,38.45,28.6
2014-07-21,0,34.8,39.9
2014-07-21,1,31.69,40.65
2014-07-21,2,31.58,40.87
2014-07-21,3,30.34,41.36
2014-07-21,4,30.19,40.39
2014-07-21,5,30.64,40.56
2014-07-21,6,37.22,38.49
2014-07-21,7,32.11,48.27
2014-07-21,8,33.62,43.16
2014-07-21,9,33.57,47.24
2014-07-21,10,35.79,47.34
2014-07-21,11,39.25,47.12
2014-07-21,12,39.74,46.77
2014-07-21,13,39.1,46.71
2014-07-21,14,38.7,46.89
2014-07-21,15,38.57,49.53
2014-07-21,16,38.13,43.87
2014-07-21,17,32.38,42.99
2014-07-21,18,32.5,40.54
2014-07-21,19,37.65,40.16
2014-07-21,20,37.84,40.3
2014-07-21,21,37.78,39.08
2014-07-21,22,38.35,38.63
2014-07-21,23,37.81,39.16
2014-07-22,0,39.7,29.88
2014-07-22,1,35.14,30.32
2014-07-22,2,35.06,31.8
2014-07-22,3,34.19,32.06
2014-07-22,4,33.62,32.1
2014-07-22,5,38.59,30.72
2014-07-22,6,42.98,32.4
2014-07-22,7,37.16,31.98
2014-07-22,8,39.83,30.0
2014-07-22,9,40.26,36.94
2014-07-22,10,42.34,37.26
2014-07-22,11,45.8,37.95
