Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
2891.2,5861.13,5381.96,3091.62,685.055,2368.8,1427.74,45.8454,857.255,-4905.36,5631.32,-3402.57,-1883.29,2093.85
3515.92,4227.88,5022.4,3509.62,1029.6,2195.13,177.236,189.607,575.245,-4645.3,4856.05,-2799.62,-1341.73,2162.51
4720.91,3600.36,3649.24,3578.08,1299.91,2019.41,-672.045,441.551,-128.118,-4207.4,4400.37,-3051.83,-867.835,1857.96
5729.68,4221.51,3258.57,3701.54,2729.08,1693.2,-846.253,480.547,-849.901,-3025.66,4607.97,-2486.68,-651.663,1755.85
4967.57,4107.23,2489.72,3233.99,3127.55,1087.25,-104.495,931.324,-1667.17,-3265.71,5094.15,-4262.34,-827.737,1311.43
5211.77,3768.93,153.195,3036.58,3199.46,884.304,-957.407,320.942,-1827.37,-3823.85,4600.46,-5641.55,-1285.77,1917.61
5241.97,3467.45,-216.982,2686.5,4383.49,793.151,-714.196,332.231,-1791.29,-3753.76,4840.27,-5856.71,-1634.05,2747.94
5061.2,3427.82,-301.368,2725.97,4116.74,798.485,-655.442,755.697,-1770.63,-3590.45,4808.45,-5483.69,-1650.3,3199.26
4399.01,3280.5,-538.571,2929.97,3395.01,378.951,-447.228,1527.96,-1390.78,-4863.09,5003.01,-4808.38,-1385.02,2608.22
3504.62,2029.17,-197.357,3001.6,3004.34,132.815,-86.9833,1843.45,-1295.3,-4163.15,5224.01,-4303.5,-625.777,2123.91
2381.79,1546.49,219.105,2586.1,3466.76,-422.798,346.868,2446.33,-614.984,-3400.88,5384.65,-3805.12,-54.939,828.237
2424.51,836.153,2639.65,154.301,1530.02,1551.68,-953.673,1698.83,-3035.33,3006.99,-1160.98,-1907.11,780.02,2815.97
2433.33,864.64,2714.19,310.093,1852.7,860.632,-507.924,1841.38,-2765.3,3207.54,-913.124,-1650.08,1149.7,3200.71
2448.15,898.464,2677.93,504.221,2100.03,1278.24,-85.8959,1936.78,-2695.44,3361.3,-593.066,-1492.57,1334.76,3466.19
2357.62,1063.79,2771.99,637.713,2273.9,1223.7,254.848,1945.05,-2533.25,3657.92,-319.227,-1468.53,1482.54,3517.61
2325.42,1193.96,2880.88,729.819,2310.23,1331.43,372.707,1871.6,-2511.05,3744.68,-185.343,-1478.35,1656.9,3606.45
2314.87,1274.14,2784.07,489.297,2008.78,734.135,345.692,1726.29,-2776.31,3697.83,-783.464,-1743.44,1374.13,3518.74
2300.36,4299.34,1870.54,-506.284,2932.55,1717.23,365.672,1779.62,-4886.45,3746.76,-2331.15,-3103.77,189.004,3057.74
2408.68,4992.85,3254.28,-76.124,2355.7,2418.09,534.753,2169.67,-2635.8,5280.46,-2271.82,-2620.86,1581.29,2730.94
2760.08,5417.47,3508.96,879.928,2035.74,3369.75,188.647,1804.8,-2912.81,6845.01,-1792.54,-2702.71,914.424,4061.88
5578.2,5514.2,3239.84,873.118,2388.94,3141.42,-67.4002,1405.25,-4097.73,7318.24,-2243.36,-2225.99,1199.22,4892.12
5678.53,5438.42,3337.34,1117.39,2458.94,3236.21,266.361,1038.55,-3948.54,6760.98,-1973.34,-2135.16,1000.51,5847
5746.6,5629.82,3280,1229.64,2554.54,3116.91,207.959,723.529,-4556.2,6214.52,-1899.6,-2147.57,1240.61,4624.48
5933.36,5610.89,2948.95,735.627,2599.46,2440.68,512.638,752.83,-4950.35,5600.31,-2650.79,-1925.57,1736.4,2957.57
5861.13,5381.96,3091.62,685.055,2368.8,1427.74,274.13,857.255,-4905.36,5631.32,-3402.57,-1883.29,2093.85,1796.25
4227.88,5022.4,3509.62,1029.6,2195.13,177.236,417.565,575.245,-4645.3,4856.05,-2799.62,-1341.73,2162.51,824.143
3600.36,3649.24,3578.08,1299.91,2019.41,-672.045,674.507,-128.118,-4207.4,4400.37,-3051.83,-867.835,1857.96,2664.62
4221.51,3258.57,3701.54,2729.08,1693.2,-846.253,721.179,-849.901,-3025.66,4607.97,-2486.68,-651.663,1755.85,4464.74
4107.23,2489.72,3233.99,3127.55,1087.25,-104.495,1177.13,-1667.17,-3265.71,5094.15,-4262.34,-827.737,1311.43,4141.39
3768.93,153.195,3036.58,3199.46,884.304,-957.407,564.584,-1827.37,-3823.85,4600.46,-5641.55,-1285.77,1917.61,4053.92
3467.45,-216.982,2686.5,4383.49,793.151,-714.196,569.411,-1791.29,-3753.76,4840.27,-5856.71,-1634.05,2747.94,3236.42
3427.82,-301.368,2725.97,4116.74,798.485,-655.442,982.545,-1770.63,-3590.45,4808.45,-5483.69,-1650.3,3199.26,1668.29
3280.5,-538.571,2929.97,3395.01,378.951,-447.228,1746.66,-1390.78,-4863.09,5003.01,-4808.38,-1385.02,2608.22,751.463
