Period,mape,smape,mae,rmse
248.000,7.160,7.568,2.252,3.385
249.000,9.095,9.835,2.942,4.213
250.000,10.131,10.968,3.302,4.591
251.000,10.737,11.499,3.473,4.581
252.000,11.509,12.216,3.703,4.601
253.000,12.746,13.806,4.123,5.076
254.000,14.405,15.830,4.716,5.653
255.000,15.910,17.550,5.247,6.021
256.000,17.507,19.354,5.805,6.371
257.000,17.081,18.704,5.656,6.117
258.000,17.635,19.219,5.803,6.091
259.000,23.185,26.368,7.768,7.957
260.000,19.441,21.590,6.532,6.624
261.000,10.917,11.579,3.671,3.763
262.000,5.873,6.090,1.986,2.189
263.000,4.638,4.762,1.568,1.724
264.000,3.967,4.043,1.352,1.632
265.000,6.125,6.374,2.124,2.424
266.000,6.727,7.003,2.339,2.552
267.000,6.287,6.563,2.289,2.756
268.000,5.629,5.863,2.077,2.576
269.000,5.796,6.031,2.153,2.593
270.000,4.768,4.947,1.793,2.306
271.000,5.134,5.331,1.921,2.409
272.000,5.055,5.237,1.891,2.328
273.000,4.840,5.001,1.815,2.212
274.000,3.926,4.034,1.487,1.921
275.000,4.006,4.117,1.517,1.940
276.000,3.525,3.561,1.340,1.717
277.000,4.035,4.066,1.534,1.875
278.000,3.815,3.762,1.444,1.883
279.000,4.865,4.749,1.813,2.124
280.000,4.525,4.437,1.699,2.053
281.000,8.830,8.415,3.256,3.463
282.000,7.058,6.724,2.599,3.117
283.000,8.052,7.642,2.976,3.471
284.000,6.505,6.209,2.414,3.002
285.000,6.512,6.232,2.401,2.976
286.000,8.300,7.862,3.048,3.553
287.000,8.775,8.295,3.224,3.713
288.000,7.130,6.765,2.622,3.231
289.000,7.085,6.738,2.618,3.158
290.000,5.736,5.487,2.131,2.692
291.000,5.968,5.736,2.232,2.664
292.000,7.025,6.707,2.632,3.082
293.000,7.758,7.401,2.900,3.252
294.000,7.703,7.378,2.879,3.120
295.000,5.464,5.320,2.037,2.252
296.000,3.787,3.821,1.467,1.802
297.000,4.953,5.148,2.114,3.224
298.000,5.472,5.720,2.383,3.471
299.000,6.425,6.747,2.858,3.913
300.000,6.715,7.053,2.984,3.971
301.000,5.567,5.672,2.461,3.349
302.000,5.759,5.822,2.523,3.341
303.000,5.350,5.478,2.389,3.356
304.000,5.291,5.468,2.395,3.424
305.000,5.491,5.779,2.555,3.711
306.000,6.345,6.721,2.954,4.096
307.000,6.208,6.567,2.891,4.007
308.000,6.164,6.516,2.870,3.970
309.000,4.740,4.992,2.244,3.454
310.000,3.888,3.972,1.806,2.791
311.000,7.141,6.870,3.046,3.219
312.000,6.346,6.120,2.703,3.093
313.000,9.839,9.287,4.115,4.519
314.000,7.155,6.777,2.938,3.653
315.000,7.366,6.983,3.004,3.652
316.000,6.516,6.188,2.658,3.381
317.000,6.374,6.072,2.618,3.264
318.000,7.721,7.326,3.181,3.755
319.000,8.841,8.344,3.636,4.216
320.000,8.602,8.132,3.534,4.095
321.000,9.439,8.921,3.875,4.292
322.000,9.135,8.658,3.742,4.107
323.000,8.320,7.917,3.411,3.775
324.000,6.877,6.596,2.828,3.164
325.000,8.356,7.968,3.423,3.694
326.000,5.822,5.608,2.357,2.702
327.000,4.425,4.326,1.786,2.043
328.000,4.337,4.248,1.750,2.001
329.000,5.146,4.971,2.061,2.426
330.000,5.123,4.957,2.046,2.371
331.000,6.451,6.255,2.568,2.846
332.000,3.680,3.641,1.469,1.954
333.000,3.379,3.446,1.312,1.774
334.000,3.506,3.563,1.358,1.782
335.000,3.436,3.454,1.339,1.767
336.000,3.939,3.997,1.501,1.884
337.000,4.909,5.071,1.861,2.365
338.000,5.278,5.454,2.003,2.434
339.000,6.750,7.061,2.541,2.963
340.000,7.877,8.265,2.958,3.273
341.000,7.520,7.867,2.825,3.106
342.000,6.080,6.324,2.290,2.618
343.000,5.543,5.753,2.090,2.428
344.000,5.714,5.921,2.153,2.436
345.000,3.553,3.511,1.311,1.706
346.000,4.968,4.982,1.827,2.147
347.000,5.199,5.113,1.905,2.414
348.000,5.609,5.497,2.062,2.524
349.000,6.419,6.260,2.341,2.742
350.000,7.164,6.829,2.554,3.161
351.000,10.131,9.390,3.517,4.323
352.000,9.969,9.271,3.383,4.129
