Period,mape,smape,mae,rmse
248.000,7.073,6.991,2.137,2.415
249.000,8.662,8.894,2.727,2.999
250.000,9.275,9.532,2.939,3.117
251.000,7.613,7.645,2.341,2.585
252.000,5.696,5.510,1.647,2.186
253.000,5.377,5.118,1.522,2.159
254.000,5.745,5.537,1.661,2.217
255.000,6.517,6.400,1.941,2.351
256.000,6.650,6.506,1.986,2.397
257.000,5.763,5.462,1.659,2.366
258.000,5.548,5.155,1.556,2.454
259.000,9.546,10.071,3.220,3.394
260.000,8.442,8.860,2.856,3.042
261.000,4.385,4.500,1.491,1.691
262.000,3.558,3.603,1.215,1.363
263.000,3.131,3.112,1.066,1.220
264.000,3.226,3.199,1.100,1.249
265.000,3.579,3.612,1.238,1.390
266.000,4.099,4.151,1.425,1.594
267.000,5.687,5.928,2.110,2.886
268.000,4.823,4.961,1.820,2.652
269.000,5.037,5.157,1.899,2.652
270.000,5.178,5.248,1.933,2.618
271.000,5.802,5.845,2.147,2.749
272.000,5.717,5.799,2.134,2.774
273.000,5.630,5.726,2.109,2.775
274.000,5.486,5.685,2.099,2.913
275.000,5.776,6.049,2.230,3.139
276.000,6.250,6.564,2.414,3.303
277.000,6.280,6.545,2.423,3.212
278.000,6.050,6.190,2.324,2.966
279.000,6.499,6.478,2.462,2.904
280.000,7.047,6.905,2.640,3.019
281.000,12.688,11.868,4.630,4.825
282.000,10.260,9.686,3.731,4.015
283.000,10.721,10.126,3.913,4.108
284.000,7.786,7.435,2.860,3.167
285.000,5.967,5.729,2.191,2.633
286.000,7.128,6.803,2.583,3.012
287.000,8.456,8.023,3.073,3.450
288.000,5.994,5.751,2.181,2.595
289.000,5.079,4.903,1.862,2.279
290.000,5.009,4.858,1.855,2.213
291.000,5.683,5.505,2.123,2.454
292.000,7.039,6.732,2.636,3.100
293.000,8.077,7.698,3.013,3.421
294.000,10.322,9.718,3.855,4.222
295.000,10.884,10.251,4.098,4.367
296.000,7.341,7.000,2.792,3.212
297.000,7.259,7.019,2.878,3.355
298.000,6.662,6.474,2.675,3.194
299.000,5.734,5.712,2.424,3.001
300.000,5.539,5.578,2.380,3.005
301.000,5.859,5.797,2.490,3.041
302.000,6.591,6.484,2.796,3.217
303.000,6.955,6.837,2.972,3.453
304.000,6.783,6.707,2.943,3.470
305.000,5.772,5.815,2.591,3.327
306.000,5.766,5.890,2.652,3.615
307.000,6.300,6.416,2.869,3.732
308.000,6.797,6.870,3.063,3.787
309.000,7.288,7.406,3.293,4.038
310.000,8.455,8.343,3.734,4.330
311.000,13.167,12.205,5.566,6.080
312.000,13.219,12.283,5.584,6.041
313.000,17.395,15.855,7.274,7.676
314.000,14.510,13.299,5.971,6.642
315.000,16.194,14.804,6.619,7.077
316.000,14.318,13.196,5.852,6.339
317.000,11.233,10.460,4.598,5.237
318.000,11.757,10.950,4.827,5.380
319.000,13.699,12.682,5.619,6.059
320.000,10.582,9.880,4.334,5.001
321.000,11.409,10.660,4.668,5.159
322.000,11.347,10.631,4.637,5.035
323.000,9.915,9.350,4.048,4.455
324.000,7.391,7.061,3.022,3.424
325.000,9.133,8.661,3.724,4.057
326.000,6.101,5.856,2.459,2.884
327.000,3.991,3.877,1.596,2.005
328.000,3.221,3.168,1.306,1.660
329.000,3.537,3.473,1.411,1.724
330.000,4.352,4.238,1.700,2.049
331.000,5.271,5.071,2.033,2.520
332.000,4.031,3.972,1.558,1.806
333.000,3.759,3.802,1.480,1.826
334.000,4.061,4.096,1.590,1.872
335.000,3.961,3.897,1.493,1.749
336.000,4.932,4.774,1.799,2.125
337.000,5.172,5.009,1.894,2.160
338.000,6.138,5.922,2.251,2.465
339.000,5.450,5.281,2.006,2.211
340.000,4.918,4.782,1.817,2.040
341.000,4.604,4.495,1.704,1.955
342.000,5.758,5.579,2.118,2.311
343.000,5.082,4.951,1.876,2.065
344.000,3.840,3.794,1.439,1.814
345.000,7.573,7.242,2.770,3.040
346.000,4.309,4.172,1.576,2.023
347.000,5.750,5.530,2.091,2.462
348.000,4.434,4.285,1.618,2.060
349.000,4.602,4.444,1.677,2.105
350.000,4.786,4.626,1.718,2.105
351.000,7.402,6.988,2.567,3.169
352.000,7.389,6.926,2.489,3.270
