Date,Supply
2016-05-02,1.08537e+06
2016-05-03,1.07856e+06
2016-05-04,1.10052e+06
2016-05-05,939520
2016-05-06,988913
2016-05-07,867748
2016-05-08,828559
2016-05-09,972697
2016-05-10,1.01473e+06
2016-05-11,1.001e+06
2016-05-12,1.0259e+06
2016-05-13,1.03973e+06
2016-05-14,902225
2016-05-15,902487
2016-05-16,993014
2016-05-17,1.02762e+06
2016-05-18,1.0844e+06
2016-05-19,1.06018e+06
2016-05-20,1.03577e+06
2016-05-21,882784
2016-05-22,857148
2016-05-23,1.01398e+06
2016-05-24,1.02161e+06
2016-05-25,1.04195e+06
2016-05-26,1.03683e+06
2016-05-27,1.03069e+06
2016-05-28,881198
2016-05-29,809117
2016-05-30,982307
2016-05-31,1.00389e+06
2016-06-01,978083
2016-06-02,956265
2016-06-03,954776
2016-06-04,845816
2016-06-05,783453
2016-06-06,932512
2016-06-07,965601
2016-06-08,996444
2016-06-09,981681
2016-06-10,963150
2016-06-11,844160
2016-06-12,806287
2016-06-13,944236
2016-06-14,939818
2016-06-15,930547
2016-06-16,935781
2016-06-17,916372
2016-06-18,818423
2016-06-19,800614
2016-06-20,935589
2016-06-21,938107
2016-06-22,918001
2016-06-23,902871
2016-06-24,871448
2016-06-25,759397
2016-06-26,755018
2016-06-27,901386
2016-06-28,901733
2016-06-29,918400
2016-06-30,948464
2016-07-01,927226
2016-07-02,820891
2016-07-03,798058
2016-07-04,952406
2016-07-05,947551
2016-07-06,918488
2016-07-07,967667
2016-07-08,928697
2016-07-09,796821
2016-07-10,780541
2016-07-11,890030
2016-07-12,929205
2016-07-13,912960
2016-07-14,877056
2016-07-15,890045
2016-07-16,806800
2016-07-17,769106
2016-07-18,892730
2016-07-19,911643
2016-07-20,889709
2016-07-21,918775
2016-07-22,908758
2016-07-23,814244
2016-07-24,780786
2016-07-25,921990
2016-07-26,912528
2016-07-27,910783
2016-07-28,917994
2016-07-29,893044
2016-07-30,796829
2016-07-31,777717
2016-08-01,897102
2016-08-02,934572
2016-08-03,899193
2016-08-04,915404
2016-08-05,910461
2016-08-06,806651
2016-08-07,776470
2016-08-08,905515
2016-08-09,973081
2016-08-10,973404
2016-08-11,945117
2016-08-12,951784
2016-08-13,856196
2016-08-14,827041
2016-08-15,931235
2016-08-16,956639
2016-08-17,964631
2016-08-18,969069
2016-08-19,941711
2016-08-20,817827
2016-08-21,774949
2016-08-22,928999
2016-08-23,949211
2016-08-24,948660
2016-08-25,964479
2016-08-26,970646
2016-08-27,875373
2016-08-28,832022
2016-08-29,997259
2016-08-30,993823
2016-08-31,996854
2016-09-01,1.02252e+06
2016-09-02,994002
2016-09-03,895815
2016-09-04,828205
2016-09-05,977550
2016-09-06,1.01087e+06
2016-09-07,1.00958e+06
2016-09-08,984785
2016-09-09,985961
2016-09-10,879045
2016-09-11,864917
2016-09-12,996771
2016-09-13,1.00576e+06
2016-09-14,991955
2016-09-15,980573
2016-09-16,991509
2016-09-17,893384
2016-09-18,841285
2016-09-19,994206
2016-09-20,992647
2016-09-21,991431
2016-09-22,990693
2016-09-23,993751
2016-09-24,903240
2016-09-25,815973
2016-09-26,998846
2016-09-27,1.01269e+06
2016-09-28,1.01314e+06
2016-09-29,1.00716e+06
2016-09-30,1.03326e+06
2016-10-01,953307
2016-10-02,917847
2016-10-03,1.06092e+06
2016-10-04,1.06368e+06
2016-10-05,1.07514e+06
2016-10-06,1.09991e+06
2016-10-07,1.10962e+06
2016-10-08,1.01612e+06
2016-10-09,1.00359e+06
2016-10-10,1.1078e+06
2016-10-11,1.14372e+06
2016-10-12,1.13817e+06
2016-10-13,1.15505e+06
2016-10-14,1.14134e+06
2016-10-15,1.03217e+06
2016-10-16,1.02884e+06
2016-10-17,1.15439e+06
2016-10-18,1.13706e+06
2016-10-19,1.11587e+06
2016-10-20,1.15738e+06
2016-10-21,1.17724e+06
2016-10-22,1.09986e+06
2016-10-23,1.04971e+06
2016-10-24,1.20697e+06
2016-10-25,1.22531e+06
2016-10-26,1.22029e+06
2016-10-27,1.16729e+06
2016-10-28,1.12483e+06
2016-10-29,1.03388e+06
2016-10-30,1.05773e+06
2016-10-31,1.1747e+06
2016-11-01,1.17516e+06
2016-11-02,1.2338e+06
2016-11-03,1.27284e+06
2016-11-04,1.25795e+06
2016-11-05,1.16542e+06
2016-11-06,1.17664e+06
2016-11-07,1.38214e+06
2016-11-08,1.39732e+06
2016-11-09,1.38208e+06
2016-11-10,1.3554e+06
2016-11-11,1.36013e+06
2016-11-12,1.23603e+06
2016-11-13,1.1508e+06
2016-11-14,1.28784e+06
2016-11-15,1.25508e+06
2016-11-16,1.24528e+06
2016-11-17,1.233e+06
