Date,Prec Hamar,Prec Kvin,Prec Oppdal,Prec Troms,Prec Bergen,Prec Norway
2014-01-01,0,19.4,0.1,0,7,26.5
2014-01-02,0,20.5,0,0,3.9,24.4
2014-01-03,6.6,19,0,0,5.4,31
2014-01-04,2.5,40.4,0,0,4.8,47.7
2014-01-05,0.1,31,0,2,11.7,44.8
2014-01-06,0,20.5,0.1,0,0.9,21.5
2014-01-07,2.1,22,0,0,11.4,35.5
2014-01-08,0,34.5,0,0,8.9,43.4
2014-01-09,0,21.2,0.3,0,15.3,36.8
2014-01-10,0,0.5,1,0,5.4,6.9
2014-01-11,0,3.2,1.3,0,5.5,10
2014-01-12,0,10.4,0.8,0,4.9,16.1
2014-01-13,0,0,0,0.5,0,0.5
2014-01-14,0,1,0,0,3.4,4.4
2014-01-15,2,0,0,0,0,2
2014-01-16,3.2,1.6,0,0.1,0,4.9
2014-01-17,0.6,0.5,0,0.1,0,1.2
2014-01-18,0.3,0.2,0,1.6,0,2.1
2014-01-19,0,0.2,0,4.1,0,4.3
2014-01-20,0,0.1,0,0.7,0,0.8
2014-01-21,0,0,0,0,0,0
2014-01-22,0,0,0,0,0,0
2014-01-23,0,0.9,0,0,0,0.9
2014-01-24,0,1.5,0,0.5,0,2
2014-01-25,0,0.1,0,0.7,0,0.8
2014-01-26,0,0.6,0,0,1.1,1.7
2014-01-27,0.1,1.1,0,0,0,1.2
2014-01-28,0.7,0.9,0,0,0,1.6
2014-01-29,1.6,1.2,0,0,0,2.8
2014-01-30,0.5,0.3,0,0,0,0.8
2014-01-31,0.3,0.1,0,0.7,0,1.1
2014-02-01,0.1,0.5,0,0,0,0.6
2014-02-02,1,18.3,0,0,0.5,19.8
2014-02-03,0,11,0,0,11.6,22.6
2014-02-04,0,0,0,0.1,0,0.1
2014-02-05,0.6,3,0,2.4,0,6
2014-02-06,0.3,1,0,0,0,1.3
2014-02-07,2.4,17.8,0,0,2,22.2
2014-02-08,4.7,7.5,0,0,2.4,14.6
2014-02-09,0.3,32.5,0,0,0.3,33.1
2014-02-10,0.2,46.5,0,0,5.5,52.2
2014-02-11,0,8.5,0,0.1,41,49.6
2014-02-12,0.9,4.5,0,0,0.6,6
2014-02-13,1.9,23,0,0,2.3,27.2
2014-02-14,1.4,23,0,0,10.4,34.8
2014-02-15,0.1,25.5,0,0,10.3,35.9
2014-02-16,5.8,41.5,0,0,10.7,58
2014-02-17,1.2,7,0.3,0,15.8,24.3
2014-02-18,0,3,2.8,1.5,9.8,17.1
2014-02-19,0,5.6,0,2.6,0,8.2
2014-02-20,1.1,2.7,0,0.5,0,4.3
2014-02-21,6.5,9,0,0,2.9,18.4
2014-02-22,2.1,26.5,0,0,10.3,38.9
2014-02-23,0.1,19,0,0,17.6,36.7
2014-02-24,0,31.8,0,1.7,29.3,62.8
2014-02-25,0,4.4,0,1.1,13.9,19.4
2014-02-26,0,5.4,0,0.1,1.1,6.6
2014-02-27,4,13,0,0,7.3,24.3
2014-02-28,0,10.5,0,0.9,1.3,12.7
2014-03-01,5.2,14.8,0,0,3.8,23.8
2014-03-02,2.5,1,0,0,0,3.5
2014-03-03,1.5,7.4,0,0.6,0.2,9.7
2014-03-04,0.3,0.1,0,0,0,0.4
2014-03-05,1.4,0.1,0,0,0.2,1.7
2014-03-06,0.4,6.7,0,0,12,19.1
2014-03-07,7.3,37,0.5,1,24.2,70
2014-03-08,1.8,29,2.8,0.8,28.3,62.7
2014-03-09,0,1.8,0,0.7,6.5,9
2014-03-10,0,3.4,0,0.6,0,4
2014-03-11,0,0,1.2,2.7,1.5,5.4
2014-03-12,0,0,0,0.7,0,0.7
2014-03-13,0,0,0,0.1,0,0.1
2014-03-14,0,0,5,3,5,13
2014-03-15,0.3,37.6,12,3.2,17.7,70.8
2014-03-16,0,5.1,6.6,0.5,10.1,22.3
2014-03-17,0.1,19.1,11.5,0,26.6,57.3
2014-03-18,0,4.1,8,0.4,10.5,23
2014-03-19,0,11,0.5,0,10.1,21.6
2014-03-20,3.4,38.6,2.5,0,39.2,83.7
2014-03-21,0,22.1,0.2,0,35.5,57.8
2014-03-22,0,6.4,0,0,1.2,7.6
2014-03-23,0.9,24.7,0,0.9,10.1,36.6
2014-03-24,0.2,6.5,2,0,13,21.7
2014-03-25,0,0,0,0.1,0,0.1
2014-03-26,0,0,0,0,0,0
2014-03-27,0,0,0,0,0,0
2014-03-28,0,0.2,0,0,0.6,0.8
2014-03-29,0,0,0,0.4,0.1,0.5
2014-03-30,0,0,0,0.1,0,0.1
2014-03-31,0,0,0,0.2,0,0.2
2014-04-01,0,0,0.1,0.5,0,0.6
2014-04-02,0,0,0,0,0,0
2014-04-03,0,0,0,3.4,0,3.4
2014-04-04,0,0,0,0,0,0
2014-04-05,0,0,0,0.2,0,0.2
2014-04-06,0.7,4.9,0,0,1.3,6.9
2014-04-07,6.3,10.5,4,0,11.9,32.7
2014-04-08,0.1,15,1,0.6,1.5,18.2
2014-04-09,7.7,3.5,0.1,0,3.7,15
2014-04-10,1.3,0.1,0,0,4,5.4
2014-04-11,1,5.4,0,0.2,12.8,19.4
2014-04-12,0,3,1,0.8,9.9,14.7
2014-04-13,2,31.8,1,0.4,30.4,65.6
2014-04-14,0,13.4,5.5,0,9.7,28.6
2014-04-15,0,0,3.2,0.2,0.3,3.7
2014-04-16,0,0,0,0,0,0
2014-04-17,0,1,0,0.2,13.7,14.9
2014-04-18,9.3,19,0,0,21.2,49.5
2014-04-19,0,0,0,0.1,0,0.1
2014-04-20,0,0,0,0.1,0,0.1
2014-04-21,0,0,0,0,0,0
2014-04-22,0,0,0,0.2,0,0.2
2014-04-23,0,0,0,0.1,0,0.1
2014-04-24,0,0,0,0.5,0,0.5
2014-04-25,0,0,0,0,0,0
2014-04-26,0,0,0,0,0,0
2014-04-27,0,0,0,0,0,0
2014-04-28,0,0,0,0,0,0
2014-04-29,0,0,4.5,0,0,4.5
2014-04-30,0.8,0,0.1,0,0,0.9
2014-05-01,0,0,1.3,0,0,1.3
2014-05-02,0,0,1.5,0,0,1.5
2014-05-03,0,0,0.8,0,0,0.8
2014-05-04,0,0,1.5,0.6,1.1,3.2
2014-05-05,0,0.4,0,0,4.2,4.6
2014-05-06,3.3,11,0,0,19.5,33.8
2014-05-07,11.1,12.5,0,0,2.2,25.8
2014-05-08,2.8,13.2,0,0,8.5,24.5
2014-05-09,0,2.1,0,0,7.6,9.7
2014-05-10,0,0,2,0,3.6,5.6
2014-05-11,0.2,0,0,0,0.3,0.5
2014-05-12,0.5,2.1,0,0,0,2.6
2014-05-13,0.8,1.5,2.4,0.4,3.9,9
2014-05-14,0,0.5,0.1,0.1,0.1,0.8
2014-05-15,0,0,0,0,0,0
2014-05-16,0.2,0.1,0.6,0,56.8,57.7
2014-05-17,0,0,0,0,10.4,10.4
2014-05-18,0,0,0,0,0,0
2014-05-19,0,1.3,0,0,0,1.3
2014-05-20,2.4,0,0,0,0,2.4
2014-05-21,0,0.5,0,0,0.9,1.4
2014-05-22,0.7,11.9,0,2.9,2.5,18
2014-05-23,0.7,5.5,1.5,0.7,5.7,14.1
2014-05-24,8.4,3.6,3.2,0,9.4,24.6
2014-05-25,2,0,0.6,0.3,0,2.9
2014-05-26,9.8,3.6,0,0,0.1,13.5
2014-05-27,0,0,0,0,0,0
2014-05-28,0,0,0,0,0,0
2014-05-29,0,0,0,0,0,0
2014-05-30,0,0,0,0,0,0
2014-05-31,0,0,0.1,0,0,0.1
2014-06-01,0,0,0,0.1,0,0.1
2014-06-02,0,0,0,0.1,0,0.1
2014-06-03,0,0,0,0,0,0
2014-06-04,2.7,0.3,0,0,0,3
2014-06-05,3.9,0.6,0.1,0,0,4.6
2014-06-06,7.2,10.6,2.4,0,2.2,22.4
2014-06-07,0,0,0.1,0,7.6,7.7
2014-06-08,1.1,0,0.4,0,0,1.5
2014-06-09,0,0,20.3,5,0,25.3
2014-06-10,0,0,0,3.2,0,3.2
2014-06-11,0.9,1,0,1.7,11.7,15.3
2014-06-12,0,0.1,6,0,27.2,33.3
2014-06-13,0,1.5,8.2,0,26.6,36.3
2014-06-14,0,0,0.8,0,0,0.8
2014-06-15,0,0,0,4.7,0,4.7
2014-06-16,0,0,0.3,11.5,0,11.8
2014-06-17,0,0,0,4,0,4
2014-06-18,0,0,1.7,8.3,0,10
2014-06-19,0.2,0.1,4.5,1.1,13.9,19.8
2014-06-20,1.2,0,2.4,0.9,0,4.5
2014-06-21,0,0,5.1,14,0,19.1
2014-06-22,0,0,14.2,2.6,0,16.8
2014-06-23,0.4,0,1,0.2,0,1.6
2014-06-24,0,0,0,0.1,0,0.1
2014-06-25,0,0.1,0,0,0,0.1
2014-06-26,0.3,0,0.5,0,0,0.8
2014-06-27,2.1,0,0.1,0,0,2.2
2014-06-28,4.8,0,0,0,0,4.8
2014-06-29,0.1,0.1,0,0,5.9,6.1
2014-06-30,0.4,0,0,0,0,0.4
2014-07-01,6.9,13.1,3.9,0,0,23.9
2014-07-02,2.2,3.4,2.2,0,0,7.8
2014-07-03,0.3,9,3.6,0.1,10.3,23.3
2014-07-04,1.1,0,0,8.2,1.8,11.1
2014-07-05,0,0.7,0,5.4,1.7,7.8
2014-07-06,0.6,22,0,0,18.3,40.9
2014-07-07,0.2,14,0,0,8,22.2
2014-07-08,10.5,3.9,4,0,12.5,30.9
2014-07-09,9.9,25,0,0,0,34.9
2014-07-10,0,0,0,0,0,0
2014-07-11,0,0,0,0,0,0
2014-07-12,0,0,0,0.6,0,0.6
2014-07-13,0,0,2,0,0,2
2014-07-14,0.4,0,0,0,0,0.4
2014-07-15,6.3,58.5,1.8,0,0,66.6
2014-07-16,30.3,3,3.2,7.2,6.6,50.3
2014-07-17,0,0,2.9,0.3,10.8,14
2014-07-18,18.8,5.5,2,7.1,5.5,38.9
2014-07-19,0.2,0,0.1,0,0,0.3
2014-07-20,0,0,0,0,0,0
2014-07-21,0,0,0,0,0,0
2014-07-22,0,0,0,0,0,0
2014-07-23,0,0,2.2,0,0,2.2
2014-07-24,0,0,4.8,0,0,4.8
2014-07-25,0,0,0,0,0,0
2014-07-26,0,13,0,0,3,16
2014-07-27,0,4,3.5,0,0,7.5
