Date,temperature,snow_mass
2015-01-19,-5.84492,78.5214
2015-01-20,-5.35338,81.3243
2015-01-21,-4.89829,83.7161
2015-01-22,-7.46683,85.8185
2015-01-23,-8.40308,86.7913
2015-01-24,-2.64383,91.8391
2015-01-25,-4.74825,93.5429
2015-01-26,-0.750833,93.9814
2015-01-27,-2.81775,94.5356
2015-01-28,-0.105667,95.2097
2015-01-29,-2.33862,100.193
2015-01-30,-2.92483,103.118
2015-01-31,-5.26037,105.469
2015-02-01,-6.49871,106.511
2015-02-02,-6.36133,107.803
2015-02-03,-7.23292,108.706
2015-02-04,-9.62054,109.166
2015-02-05,-7.51021,109.763
2015-02-06,-2.39942,109.431
2015-02-07,-1.78475,108.329
2015-02-08,-2.12296,109.139
2015-02-09,0.785292,107.672
2015-02-10,0.671375,105.189
2015-02-11,-0.351792,103.816
2015-02-12,-1.98187,104.291
2015-02-13,-1.99567,105.045
2015-02-14,-2.64071,105.808
2015-02-15,-3.57558,106.266
2015-02-16,-3.27117,107.214
2015-02-17,-0.471917,109.516
2015-02-18,0.918833,109.623
2015-02-19,1.97287,106.701
2015-02-20,0.751292,105.04
2015-02-21,-1.29742,106.051
2015-02-22,-3.02792,107.669
2015-02-23,-0.932625,111.801
2015-02-24,-0.0497917,112.932
2015-02-25,0.223875,112.012
2015-02-26,-0.209583,111.744
2015-02-27,0.081625,113.214
2015-02-28,-0.267833,112.126
2015-03-01,0.816125,114.541
2015-03-02,0.261833,114.853
2015-03-03,-1.97692,114.67
2015-03-04,-2.76796,114.358
2015-03-05,-1.04587,114.619
2015-03-06,1.35142,114.234
2015-03-07,2.74971,111.944
2015-03-08,2.78742,109.404
2015-03-09,1.01004,109.724
2015-03-10,2.51854,109.645
2015-03-11,1.2195,108.664
2015-03-12,1.22354,108.43
2015-03-13,0.818667,107.578
2015-03-14,0.152,106.172
2015-03-15,0.331958,105.622
2015-03-16,1.72771,104.662
2015-03-17,2.11746,103.558
2015-03-18,2.23275,102.229
2015-03-19,1.46596,102.064
2015-03-20,0.886833,103.282
2015-03-21,-2.19854,103.751
2015-03-22,-0.372375,106.534
2015-03-23,1.33017,109.267
2015-03-24,0.219208,107.673
2015-03-25,-1.33333,109.168
2015-03-26,-2.02904,117.959
2015-03-27,-0.754167,118.458
2015-03-28,-0.184333,113.87
2015-03-29,1.12308,113.127
2015-03-30,0.34225,111.653
2015-03-31,-0.527375,110.375
2015-04-01,-0.07325,110.942
2015-04-02,0.31775,111.515
2015-04-03,0.128917,111.421
2015-04-04,-0.123417,110.765
2015-04-05,0.688917,110.518
2015-04-06,2.69425,110.07
2015-04-07,4.45208,108.199
2015-04-08,3.51538,107.033
2015-04-09,3.36513,106.196
2015-04-10,4.14579,104.395
2015-04-11,3.84446,102.534
2015-04-12,3.06192,101.684
2015-04-13,1.32387,102.038
2015-04-14,1.58917,102.326
2015-04-15,2.56767,101.341
2015-04-16,2.43033,101.246
2015-04-17,3.35571,99.7666
2015-04-18,3.87625,97.6966
2015-04-19,5.58617,95.0171
2015-04-20,7.00929,92.0917
2015-04-21,5.77933,89.1096
2015-04-22,5.6075,87.3819
2015-04-23,4.21729,86.4804
2015-04-24,3.05296,86.3733
2015-04-25,3.79079,85.9901
2015-04-26,3.03775,85.5647
2015-04-27,2.60517,84.7154
2015-04-28,3.22996,83.7579
2015-04-29,2.95042,82.846
2015-04-30,3.29433,82.1779
2015-05-01,3.69846,81.0573
2015-05-02,3.31608,79.7138
2015-05-03,3.77087,78.3017
2015-05-04,4.10912,76.9156
2015-05-05,6.42692,74.7963
2015-05-06,7.72129,71.3914
2015-05-07,6.15663,68.4121
2015-05-08,4.62733,66.5218
2015-05-09,4.13817,65.2791
2015-05-10,5.49788,63.7796
2015-05-11,6.45567,61.4254
2015-05-12,6.83662,58.8029
2015-05-13,6.70083,56.3692
2015-05-14,5.24617,54.6332
2015-05-15,5.57967,52.9025
2015-05-16,5.26138,51.2789
2015-05-17,4.7105,50.049
2015-05-18,6.18692,47.9714
2015-05-19,5.84379,45.7354
2015-05-20,6.52471,43.8157
2015-05-21,7.04612,42.156
2015-05-22,6.42696,40.556
2015-05-23,6.43092,39.9502
2015-05-24,5.81579,39.5932
2015-05-25,7.16558,38.4099
2015-05-26,7.35046,36.6388
2015-05-27,7.73304,35.0228
2015-05-28,6.57337,33.7955
2015-05-29,6.88338,32.4429
2015-05-30,6.39892,30.9106
2015-05-31,7.89533,29.3745
2015-06-01,7.19413,27.9289
2015-06-02,6.70562,26.812
2015-06-03,7.98563,25.7775
2015-06-04,7.79038,25.0215
2015-06-05,8.99146,24.3701
2015-06-06,9.524,23.2313
2015-06-07,8.37346,22.4526
2015-06-08,8.478,21.8838
2015-06-09,9.3015,21.2331
2015-06-10,9.51433,20.5589
2015-06-11,10.3046,20.002
2015-06-12,11.0035,19.2733
2015-06-13,9.1815,18.575
2015-06-14,7.81775,18.0712
2015-06-15,7.78288,17.7468
2015-06-16,8.79696,17.2643
2015-06-17,8.40188,16.6335
2015-06-18,9.57579,15.9078
2015-06-19,10.6722,15.0484
2015-06-20,12.0465,14.1063
2015-06-21,12.3595,13.1127
2015-06-22,12.2323,12.2548
2015-06-23,12.3418,11.6009
2015-06-24,11.3407,11.1179
2015-06-25,9.56379,10.7312
2015-06-26,10.7022,10.3373
2015-06-27,12.3754,9.87979
2015-06-28,12.4381,9.51773
2015-06-29,12.531,9.20329
2015-06-30,13.285,8.80705
2015-07-01,15.8611,8.37522
2015-07-02,17.1097,7.88373
2015-07-03,16.1603,7.38901
2015-07-04,15.9642,6.92078
2015-07-05,16.917,6.487
2015-07-06,13.8293,6.0922
2015-07-07,12.343,5.80434
2015-07-08,11.1195,5.54459
2015-07-09,10.3102,5.26675
2015-07-10,10.9074,4.99385
2015-07-11,12.3088,4.7467
2015-07-12,14.0397,4.4681
2015-07-13,13.5234,4.19635
2015-07-14,13.1678,3.98999
2015-07-15,12.4737,3.83893
2015-07-16,10.7065,3.7311
2015-07-17,11.6456,3.59265
2015-07-18,12.041,3.45165
2015-07-19,12.4466,3.26698
2015-07-20,12.7064,3.11375
2015-07-21,11.5528,2.95701
2015-07-22,12.8666,2.7578
2015-07-23,11.7522,2.55035
2015-07-24,11.3018,2.39555
2015-07-25,11.0693,2.22363
2015-07-26,11.054,2.05165
2015-07-27,11.8735,1.79535
2015-07-28,12.5031,1.58739
2015-07-29,12.7045,1.44926
2015-07-30,12.8101,1.30227
2015-07-31,11.4284,1.18048
2015-08-01,11.7059,1.09737
2015-08-02,11.3025,0.981613
2015-08-03,11.9035,0.847679
2015-08-04,13.9001,0.713342
2015-08-05,14.4821,0.498246
2015-08-06,14.174,0.350687
2015-08-07,14.8578,0.19915
2015-08-08,13.6092,0.0559
2015-08-09,12.9383,0.00949167
2015-08-10,14.1849,0.00110833
2015-08-11,14.236,2.08333e-05
2015-08-12,12.1991,0
2015-08-13,13.1057,0
2015-08-14,14.657,0
2015-08-15,15.0226,0
2015-08-16,15.2032,0
2015-08-17,15.3606,0
2015-08-18,14.9515,0
2015-08-19,15.5981,0
2015-08-20,15.7323,0
2015-08-21,15.767,0
2015-08-22,16.0916,0
2015-08-23,16.3099,0
2015-08-24,15.4844,0
2015-08-25,15.2731,0
2015-08-26,14.4044,0
2015-08-27,14.3275,0.00150833
2015-08-28,12.3402,0.0266625
2015-08-29,12.2451,0.0055625
2015-08-30,12.682,0.000879167
2015-08-31,12.2879,0.000133333
2015-09-01,11.48,0
2015-09-02,11.0787,0.00320833
2015-09-03,11.3001,0.000691667
2015-09-04,10.3984,0.001
2015-09-05,8.96946,0.00780417
2015-09-06,8.72454,0.008375
2015-09-07,9.83696,0.0180875
2015-09-08,10.9779,0.0103
2015-09-09,12.6002,0.00324167
2015-09-10,13.0793,0.000804167
2015-09-11,12.3864,0.000133333
2015-09-12,11.895,0
2015-09-13,12.058,0
2015-09-14,12.595,0
2015-09-15,11.4075,0.00114583
2015-09-16,10.415,0.0120542
2015-09-17,11.689,0.00434583
2015-09-18,11.5218,0.0019375
2015-09-19,9.65596,0.00111667
2015-09-20,8.842,0.00190833
2015-09-21,9.13217,0.00136667
2015-09-22,9.2135,0.000716667
2015-09-23,10.2118,0.000929167
2015-09-24,10.5236,0.000254167
2015-09-25,8.71079,0.00774583
2015-09-26,7.94838,0.0286042
2015-09-27,8.707,0.0228625
2015-09-28,8.66558,0.0119875
2015-09-29,9.46525,0.0054125
2015-09-30,9.56246,0.00614167
2015-10-01,9.22671,0.0670542
2015-10-02,8.45508,0.208225
2015-10-03,6.93408,0.422058
2015-10-04,7.23046,0.625179
2015-10-05,6.43963,0.654737
2015-10-06,6.01321,0.649213
2015-10-07,5.07404,0.671412
2015-10-08,4.99396,0.71245
2015-10-09,5.10492,0.767383
2015-10-10,5.979,0.731096
2015-10-11,6.02567,0.624258
2015-10-12,5.53079,0.465862
2015-10-13,5.02188,0.379467
2015-10-14,4.52463,0.338383
2015-10-15,4.65167,0.233921
2015-10-16,3.863,0.243533
2015-10-17,4.53583,0.229275
2015-10-18,5.62388,0.141896
2015-10-19,4.97083,0.133783
2015-10-20,4.94054,0.170504
2015-10-21,5.50762,0.333246
2015-10-22,7.55054,0.398762
2015-10-23,6.4155,0.389896
2015-10-24,6.23212,0.411988
2015-10-25,4.72483,0.76935
2015-10-26,4.50183,1.16352
2015-10-27,4.07692,1.50394
2015-10-28,3.86433,1.54828
2015-10-29,3.09546,1.60872
2015-10-30,4.0955,1.64229
2015-10-31,6.80371,1.55726
2015-11-01,6.78704,1.10716
2015-11-02,6.65942,0.877575
2015-11-03,6.36304,0.806596
2015-11-04,4.99204,0.925117
2015-11-05,4.07112,1.12455
2015-11-06,4.96692,1.20087
2015-11-07,6.12954,1.34782
2015-11-08,4.49892,1.5782
2015-11-09,4.88421,1.91113
2015-11-10,4.38742,2.21103
2015-11-11,3.66275,2.50245
2015-11-12,3.46279,2.79052
2015-11-13,3.78487,3.49286
2015-11-14,1.95867,4.51489
2015-11-15,1.53679,5.20455
2015-11-16,0.886375,7.60802
2015-11-17,1.45858,9.0953
2015-11-18,0.353417,8.96106
2015-11-19,-1.65458,10.0092
2015-11-20,-3.90675,10.5068
2015-11-21,-5.00542,11.1424
